Cod_abbinamento,Tipo,Codice_articolo,Codice_rivestimento,Nome_rivestimento,Colore_rivestimento,Tipo Rivestimento
2022_1,SOFA,3242,2583,STATUS,CAMEL,
2022_1,SOFA,2847,88.0058.05,ORTIGIA,Clay,FABRIC
2022_1,SOFA,3039,99.0032.03,GAIA,White,ECOFIBER
2022_1,SOFA,3253,99.0032.03,GAIA,White,ECOFIBER
2022_1,FURN,Q070003XNA,,,,
2022_1,FURN,Q070001XNA,,,,
2022_1,FURN,Q070008XNA,,,,
2022_1,FURN,L51402G,,,,
2022_1,FURN,V919002XNA,,,,
2022_1,SOFA,3253,99.0028.01,SAN BABILA ,White,FABRIC
2022_1,FURN,Q070010XNA,,,,
2022_2,SOFA,L024,99.2020.15,LAGUNA,Olive green,FABRIC
2022_2,FURN,F006009,,,,
2022_2,FURN,F008009,,,,
2022_2,FURN,O081002XNA,,,,
2022_2,FURN,O888007XNA,,,,
2022_2,FURN,O888008XNA,,,,
2022_2,FURN,O888009XNA,,,,
2022_2,SOFA,3185,25CQ,STATUS,Ice White ,LEATHER
2022_2,SOFA,3039,99.2020.15,LAGUNA,Olive green,FABRIC
2022_2,SOFA,3042,88.2057.03,FARINI,Rubble,FABRIC
2022_2,FURN,B00902X,,,,
2022_2,FURN,B00904X,,,,
2022_2,FURN,L502XNG,,,,
2022_2,FURN,L502TNG,,,,
2022_2,FURN,T173T3X,,,,
2022_2,FURN,Y852001XNA,,,,
2022_2,FURN,V843006XNA,,,,
2022_3A,FURN,Q070006XNA,,,,
2022_3A,FURN,CH222311400,15D8,LE MANS,Orange Tea  ,LEATHER
2022_3,SOFA,3035,15E9,LE MANS,Mushroom,LEATHER
2022_3,SOFA,3035,70.2084.06,SPARANO,Greige,FABRIC
2022_3,SOFA,3035,15C3,LE MANS,Bronze light grey,LEATHER
2022_3,FURN,O888008XNA,,,,
2022_3,FURN,T108F54,,,,
2022_3,FURN,T108M0S,,,,
2022_3,FURN,Y007V0V,,,,
2022_3,FURN,Y007V00,,,,
2022_3,FURN,T058VX5,,,,
2022_3,FURN,L502XWG,,,,
2022_3,FURN,V919004XNA,,,,
2022_4,SOFA,3147,"86.2059.01
30KC","LAGRANGE
GARGANO","WHITE
GREEN",FABRIC
2022_4,SOFA,2996,1581,LE MANS ,Light Greige,LEATHER
2022_4,SOFA,2996,1080000410,GROS GRAIN ,LIGHT GREY ,
2022_4,SOFA,R147,30IZ,STROMBOLI,Swamp green,LEATHER
2022_4,SOFA,1800,86.2059.01,LAGRANGE,Bianco/White,FABRIC
2022_4,SOFA,1800,99.2020.15,LAGUNA,Olive green,FABRIC
2022_4,SOFA,1800,99.2020.15,LAGUNA,Olive green,FABRIC
2022_4,FURN,A23502X,,,,
2022_4,FURN,E04402X,,,,
2022_4,FURN,E04408X,,,,
