Codice1;Codice2;Colore;Collezione;Materiale
020JK;020JK;FC_GREY;DREAM;PELLE
0406;0406;OLD LEATHER;Pelle;PELLE
0414;0414;OLD LEATHER;Pelle;PELLE
0420;0420;OLD LEATHER;Pelle;PELLE
0430;0430;OLD LEATHER;Pelle;PELLE
05VI;05VI;FC_BEIGE;LANCASTER;PELLE
0604;0604;BIANCO AURORA;ALTAMURA;PELLE
0605;0605;BEIGE;ALTAMURA;PELLE
0606;0606;NERO;ALTAMURA;PELLE
0607;0607;CREMA;ALTAMURA;PELLE
0608;0608;GIALLO;ALTAMURA;PELLE
0609;0609;BLU;ALTAMURA;PELLE
0610;0610;TORTORA SCURO;ALTAMURA;PELLE
0611;0611;ACQUA MARINA;ALTAMURA;PELLE
0612;0612;MARRONE;ALTAMURA;PELLE
065A;065A;TESTA DI MORO;BATON ROUGE;PELLE
065B;065B;MARRONE ROSSICCIO;BATON ROUGE;PELLE
065C;065C;BLU NAVY;BATON ROUGE;PELLE
065D;065D;WHISKY;BATON ROUGE;PELLE
06AA;06AA;FC_TAN;SALSO;PELLE
06AA;06AA;TORTORA;SALSO;PELLE
06AB;06AB;BORDEAUX;SALSO;PELLE
06AB;06AB;FC_BURGUNDY;SALSO;PELLE
06AC;06AC;FC_BROWN;SALSO;PELLE
06AC;06AC;MARRONE SCURO;SALSO;PELLE
06BA;06BA;BORDEAUX;ALTAMURA;PELLE
06CA;06CA;MARRONE;CANYON;PELLE
06CB;06CB;NERO;CANYON;PELLE
06DA;06DA;CREMA;FRANKLIN;PELLE
06DB;06DB;CUOIO;FRANKLIN;PELLE
06DC;06DC;COGNAC;FRANKLIN;PELLE
06DD;06DD;TESTA DI MORO;FRANKLIN;PELLE
06DE;06DE;TORTORA CHIARO;FRANKLIN;PELLE
06DF;06DF;BEIGE;FRANKLIN;PELLE
06EA;06EA;TORTORA;WALKER;PELLE
06EB;06EB;COGNAC;WALKER;PELLE
06EC;06EC;BORDEAUX;WALKER;PELLE
06ED;06ED;BLU NOTTE;WALKER;PELLE
06EE;06EE;TESTA DI MORO;WALKER;PELLE
06EF;06EF;FC_BEIGE;WALKER;PELLE
06EG;06EG;NERO;WALKER;PELLE
06EH;06EH;BEIGE;WALKER;PELLE
06JA;06JA;BIANCO;FLORIDA;PELLE
06JB;06JB;CREMA;FLORIDA;PELLE
06JC;06JC;MARRONE;FLORIDA;PELLE
06JD;06JD;NERO;FLORIDA;PELLE
06JE;06JE;TORTORA;FLORIDA;PELLE
06JF;06JF;GRIGIO;FLORIDA;PELLE
06KA;06KA;BIANCO;FLORIDA 2;PELLE
06KB;06KB;CREMA;FLORIDA 2;PELLE
06KC;06KC;MARRONE;FLORIDA;PELLE
06KD;06KD;NERO;FLORIDA 2;PELLE
06KE;06KE;TORTORA;FLORIDA 2;PELLE
06KF;06KF;GRIGIO;FLORIDA 2;PELLE
06LA;06LA;MARRONE;YORK;PELLE
06LB;06LB;NERO;YORK;PELLE
06MA;06MA;ROSSO;TULUM;PELLE
06MB;06MB;NERO;TULUM;PELLE
06MC;06MC;CREMA;TULUM;PELLE
06MD;06MD;BORDEAUX;TULUM;PELLE
06ME;06ME;MARRONE;TULUM;PELLE
06MF;06MF;GRIGIO;TULUM;PELLE
06MG;06MG;BLU;TULUM;PELLE
06MH;06MH;RUSTIC;TULUM;PELLE
06MI;06MI;OPTICAL WHITE;TULUM;PELLE
06ML;06ML;BIANCO FREDDO;TULUM;PELLE
06MM;06MM;GRIGIO;TULUM;PELLE
1000;1000;ROSSO;TEVERE;PELLE
1000;1000;ROSSO IK;TEVERE;PELLE
1002;1002;MARRONE CARBONE;ARNO;PELLE
1002;1002;MARRONE CARBONE IK;ARNO;PELLE
1003;1003;VERDE;SAVANA;PELLE
1004;1004;PERLA;PRINCE;PELLE
1005;1005;AVORIO;IMOLA;PELLE
1006;1006;GIALLO;IMOLA;PELLE
1007;1007;NERO;PRINCE;PELLE
1008;1008;BLU;IMOLA;PELLE
1009;1009;TORTORA;IMOLA;PELLE
1010;1010;BLU;SAVANA;PELLE
1011;1011;BORDEAUX;SAVANA;PELLE
1011;1011;BORDEAUX4;SAVANA;PELLE
1012;1012;VERDE;SAVANA;PELLE
1012;1012;VERDE MILITARE;SAVANA;PELLE
1013;1013;GIALLO;DAYTONA;PELLE
1014;1014;CUOIO;ARNO;PELLE
1015;1015;NERO;DAYTONA;PELLE
1016;1016;CAMOSCIO;DAYTONA;PELLE
1017;1017;VERDE CHIARO;DAYTONA;PELLE
1018;1018;BLU;PRINCE;PELLE
1018;1018;BLU1;PRINCE;PELLE
1019;1019;SABBIA;PRINCE;PELLE
101A;101A;COGNAC;CAMERON;PELLE
101A;101A;FC_TAN;CAMERON;PELLE
101B;101B;GRAFITE;CAMERON;PELLE
101C;101C;CASTAGNA;CAMERON;PELLE
101D;101D;TESTA DI MORO;CAMERON;PELLE
1020;1020;BIANCO AURORA;PRINCE;PELLE
1022;1022;MARRONE;DAYTONA;PELLE
1023;1023;BORDEAUX;ARNO;PELLE
1023;1023;BORDEAUX 2;ARNO;PELLE
1024;1024;BIANCO;SAVANA;PELLE
