article,qty,price,brand,cat2,cat3,name,cat4,Function,title2,value2,title3,value3,title4,value4,title5,value5,dimensions,descrizione_materiale,cd_stato_materiale,article_code
C013KG0,1,460,NATUZZI,CHAIRS,,KIRIS,,WITHOUT ARMS,Frame,LEATHER,Frame finishing,GREY,Covering,LEATHER,Covering finishing,GREY,50X50 H92,KIRIS CHAIR 50X50 H92 GREY,YS,DDC013SCU01100P
CH230031400,1,1600,NATUZZI,CONFIGURABLE CHAIRS,,Tennis,,WITH ARMS,Frame,,Frame finishing,Ash wood tobacco,Covering,LEATHER,,,59X60 H86,SEDIA TENNIS C-BR PELLE,Y7,CH230031400
CH230033000,1,1650,NATUZZI,CONFIGURABLE CHAIRS,,Tennis,,WITH ARMS,Frame,,Frame finishing,Ash wood tobacco,Covering,LEATHER,,,59X60 H86,SEDIA TENNIS C-BR PELLE,Y7,CH230033000
CH230038300,1,1560,NATUZZI,CONFIGURABLE CHAIRS,,Tennis,,WITH ARMS,Frame,,Frame finishing,Ash wood tobacco,Covering,FABRIC,,,59X60 H86,SEDIA TENNIS C-BR TESSUTO,Y7,CH230038300
CH230039900,1,1610,NATUZZI,CONFIGURABLE CHAIRS,,Tennis,,WITH ARMS,Frame,,Frame finishing,Ash wood tobacco,Covering,FABRIC,,,59X60 H86,SEDIA TENNIS C-BR TESSUTO,Y7,CH230039900
CH23003A000,1,1590,NATUZZI,CONFIGURABLE CHAIRS,,Tennis,,WITH ARMS,Frame,,Frame finishing,Ash wood tobacco,Covering,LEATHER,,,59X60 H86,SEDIA TENNIS C-BR PELLE CTA0,Y7,CH23003A000
T100MY1,1,570,NATUZZI,COFFEE TABLES,COFFEE TABLE,CABARET,SQUARE,CORNER,Frame,METAL,Frame finishing,CHROME GLOSSY,Top,MARBLE,Top finishing,WHITE CARRARA,45X45 H54,CABARET SIDETABLE 45X45H54 CHR-WHITE MAR,YS,DDT100AMAM5200P
T157LH3,1,1630,NATUZZI,COFFEE TABLES,COFFEE TABLE,IDO,SQUARE,CENTRAL,Frame,METAL,Frame finishing,Pewter,Top,WOOD,Top finishing,RADICA FRISE',90X90 H39,IDO CENTR.TAB.90X90H39 RADICA FRISE-PEWT,YS,DDT157CLGM7515P
T157MZT,1,840,NATUZZI,COFFEE TABLES,COFFEE TABLE,IDO,SQUARE,ACCENT,Frame,METAL,Frame finishing,Pewter,Top,METAL,Top finishing,CHAMPAGNE,40X40 H47,IDO ACC.TAB.1 ST.40X40 H47 CHAMP-PEWTER,YS,DDT157SFRM5415P
T849001XNA,1,1050,NATUZZI,COFFEE TABLES,COFFEE TABLE,Ika,SQUARE,ACCENT,Frame,METAL,Frame finishing,BRONZE,Top,LACQUERED WOOD,Top finishing,GLOSSY SAND,46X55 H41,IKA Acc.55x46H41-55Gold.Bronz Gl.Sand,YP,T849001XNA
T849002XNA,1,1060,NATUZZI,COFFEE TABLES,COFFEE TABLE,Ika,RECTANGULAR,CORNER,Frame,METAL,Frame finishing,BRONZE,Top,WOOD,Top finishing,NATURAL,44X94 H40,IKA Side 94x44H40 GoldBronz Nat.Oak,YP,T849002XNA
T173T1X,1,3200,NATUZZI,COFFEE TABLES,COFFEE TABLE,ORFEO,ROUND,CENTRAL,Frame,METAL,Frame finishing,Black Brunito/Brass,Top,Wood-laquer,Top finishing,Smoked Oak/Anthracite/Calacatta,100X100 H40,ORFEO TAVD100 ANT+VOLAK+ROV17/NEROBR,YS,DDT173T0000001X
T173T3X,1,1430,NATUZZI,COFFEE TABLES,COFFEE TABLE,ORFEO,ROUND,ACCENT,Frame,METAL,Frame finishing,Black Brunito/Brass,Top,GLASS,Top finishing,Antique Bronze,60X60 H54,ORFEO TAV D60 VETROSPECCH/NEROBR+OTT,YS,DDT173T0000003X
L50601G,1,2520,NATUZZI,LAMPS,,Circle,,TABLE LAMP,Frame,METAL,Frame finishing,Black gloss crome,Lampshade,GLASS,Lampshade finishing,,27X31 H52,CIRCLE LAMPADA TAVOLO CROMONERO LUCIDO,YP,DDL50600000001G
L50602G,1,2520,NATUZZI,LAMPS,,Circle,,TABLE LAMP,Frame,METAL,Frame finishing,BRASS,Lampshade,MARBLE,Lampshade finishing,WHITE,27X31 H52,CIRCLE LAMPADA TAVOLO OTTONE OPACO,YP,DDL50600000002G
L50603G,1,3250,NATUZZI,LAMPS,,Circle,,Pendant,Frame,METAL,Frame finishing,BRASS,Lampshade,GLASS,Lampshade finishing,,50X55 H55,CIRCLE LAMPADA SOSPENSIONE OTTONE OPA,YP,DDL50600000003G
L50604G,1,3250,NATUZZI,LAMPS,,Circle,,Pendant,Frame,METAL,Frame finishing,Black gloss crome,Lampshade,GLASS,Lampshade finishing,,50X55 H55,CIRCLE LAMPADA SOSP. CROMONERO LUCIDO,YP,DDL50600000004G
L51401G,1,1720,NATUZZI,LAMPS,,Colosseo,,STAND LAMP,Frame,METAL,Frame finishing,Pink gold,Lampshade,,Lampshade finishing,,13X29 H141,COLOSSEO FLOOR LAMP H141 METAL PINK-GOLD,YS,DDL51400000001G
L51403G,1,1390,NATUZZI,LAMPS,,Colosseo,,TABLE LAMP,Frame,METAL,Frame finishing,Pink gold,Lampshade,,Lampshade finishing,,22X27 H49,COLOSSEO TABLE LAMP H49 METAL PINK-GOLD,YS,DDL51400000003G
L51406G,1,1290,NATUZZI,LAMPS,,Colosseo,,Clip,Frame,METAL,Frame finishing,BLACK CHROME,Lampshade,,Lampshade finishing,,8X26 H109,COLOSSEO SOFA LAMP H109 BLACK CHROME,YP,DDL51400000006G
L51408G,1,1230,NATUZZI,LAMPS,,Colosseo,,Clip,Frame,METAL,Frame finishing,BLACK CHROME,Lampshade,,Lampshade finishing,,9X26 H53,COLOSSEO BOISERIE H53 LAMP BLACK CHROME,YP,DDL51400000008G
L51409G,1,1290,NATUZZI,LAMPS,,Colosseo,,Pendant,Frame,METAL,Frame finishing,Pink gold,Lampshade,,Lampshade finishing,,5X26 H63,COLOSSEO PEND.LAMP H63 PINK-GOLD,YS,DDL51400000009G
L51410G,1,1020,NATUZZI,LAMPS,,Colosseo,,Pendant,Frame,METAL,Frame finishing,BLACK CHROME,Lampshade,,Lampshade finishing,,5X26 H63,COLOSSEO PEND.LAMP H63 BLACK CHROME,YP,DDL51400000010G
L51415G,1,1320,NATUZZI,LAMPS,,Colosseo,,Pendant,Frame,METAL,Frame finishing,CHAMPAGNE,Lampshade,METAL,Lampshade finishing,CHAMPAGNE,,COLOSSEO PEND.LAMP H63 CHAMPAGNE,YS,DDL51400000015G
L51501G,1,1790,NATUZZI,LAMPS,,Dami,,STAND LAMP,Frame,METAL,Frame finishing,BLACK,Lampshade,GLASS,Lampshade finishing,COPPER/TRANSMIRROR,50X50 H180,DAMI Lampada piantanaNero/Rame UK plug,YS,DDL51500000001G
