Tipo,Codice,Configurazione_1,Configurazione_2,Configurazione_3,Configurazione_4,Configurazione_5,Sell_in,Sell_out
SOFA,3242,019,47.0,,,,3397,10810
SOFA,L024,L11,,,,,1580,4870
SOFA,3042,005,,,,,868,2580
SOFA,3146,586,152.0,109,,,1249,3970
SOFA,3188,017,32.0,072,,,2031,6460
SOFA,3029,450,452.0,,,,2068,6140
SOFA,3050,003,,,,,988,3180
SOFA,3237,F54,,,,,1313,4180
SOFA,3062,N50,291.0,N52,,,2357,7470
SOFA,604Q,704,,,,,1487,4420
SOFA,3098,003,,,,,1114,3550
SOFA,2717,100,,,,,184,600
SOFA,3030,272,291.0,399,274.0,,2108,6270
SOFA,3030,450,338.0,399,274.0,,2413,7160
SOFA,3030,446,,,,,1861,5520
SOFA,2913,003,,,,,653,2080
SOFA,3226,018,49.0,,,,1994,6350
SOFA,3226,827,,,,,400,1270
SOFA,2717,010,,,,,194,600
SOFA,2717,104,,,,,169,540
SOFA,3273,N00,001,045,45.0,2.0,3330,10580
SOFA,3273,N02,N00,,,,2038,6480
SOFA,3273,042,,,,,247,790
SOFA,3098,003,,,,,1114,3550
SOFA,L011,L11,,,,,1439,4440
SOFA,3207,066,,,,,844,2680
SOFA,3187,003,,,,,593,1880
SOFA,3146,586,152,109,,,1249,3970
SOFA,3270,272,076,073,238.0,208.0,2920,9300
SOFA,3270,715,716,238,208.0,,2477,7870
SOFA,3262,272,291,274,463.0,,2765,7030
SOFA,3262,109,109,,,,134,340
SOFA,2661,003,,,,,482,1530
SOFA,3029,450,452,,,,2068,6140
SOFA,3050,003,003,,,,988,3180
SOFA,3237,F54,,,,,1313,4180
SOFA,2899,066,,,,,688,2150
SOFA,3062,N50,291,N52,,,2357,7470
SOFA,604Q,704,,,,,1487,4420
SOFA,605K,704,,,,,1053,3100
SOFA,3263,377,295,,,,2408,6120
SOFA,3265,101,,,,,1253,3190
SOFA,2717,100,,,,,184,600
SOFA,3188,017,032,072,,,2031,6460
SOFA,3030,272,291,399,274.0,,2108,6270
SOFA,3030,446,,,,,1861,5520
SOFA,2913,003,,,,,653,2080
SOFA,3050,066,,,,,589,1870
SOFA,3226,018,049,,,,1994,6350
SOFA,2717,010,,,,,194,600
SOFA,2717,104,,,,,169,540
SOFA,3306,272,29.0,217,,,3532,11230
SOFA,3306,272,221.0,,,,2298,7310
SOFA,1800,376,,,,,47,150
SOFA,1800,376,385.0,,,,88,280
SOFA,3039,105,,,,,184,600
SOFA,3039,545,,,,,250,800
SOFA,L023,C01,,,,,1284,3960
SOFA,3150,311,,,,,288,920
SOFA,3185,003,,,,,609,1930
SOFA,3185,009,,,,,977,3100
SOFA,3303,018,201.0,,,,3428,10900
SOFA,2715,231,,,,,1630,5160
SOFA,3039,105,545.0,,,,435,1380
SOFA,2981,274,291.0,032,072,556.0,4355,13670
SOFA,2981,089,,,,,560,1800
SOFA,3102,066,,,,,1744,5520
SOFA,2981,105,,,,,277,870
SOFA,3253,256,,,,,464,1480
SOFA,3273,N02,1.0,045,000,,2960,9420
SOFA,2847,003,,,,,798,2510
SOFA,3289,000,45.0,Q25,Q02,,4335,13780
SOFA,3289,000,45.0,716,,,2781,8850
SOFA,3289,821,817.0,,,,997,3170
SOFA,3039,405,,,,,257,810
SOFA,1800,376,385.0,,,,88,280
SOFA,600Q,704,,,,,1302,3940
SOFA,600K,704,,,,,1334,4010
SOFA,3035,446,,,,,1894,5800
SOFA,3035,009,,,,,856,2600
SOFA,3033,012,,,,,797,2460
SOFA,2954,450,452.0,,,,2242,7120
SOFA,2954,002,1.0,001,489,72.0,3277,10370
SOFA,3102,066,,,,,1676,5300
SOFA,1800,376,385.0,,,,79,250
SOFA,1800,376,,,,,29,90
SOFA,2957,452,291.0,489,272,,3684,11760
SOFA,3233,009,,,,,1148,3650
SOFA,1800,376,376.0,,,,76,240
SOFA,2981,105,,,,,263,820
SOFA,3000,009,,,,,2010,6380
SOFA,3039,405,,,,,243,780
SOFA,3147,016,589.0,073,,,4303,13640
SOFA,1800,376,385.0,,,,88,280
SOFA,L011,L11,,,,,1439,4440
SOFA,3201,005,,,,,974,3090
SOFA,1800,385,,,,,74,240
SOFA,R147,042,,,,,444,1420
SOFA,V029,450,291.0,049,,,2298,6850
SOFA,3099,003,,,,,1059,3370
SOFA,3270,272,76.0,073,238,208.0,2920,9300
SOFA,3040,066,,,,,898,2840
SOFA,V911,272,274.0,,,,1768,5640
SOFA,V911,274,291.0,047,,,3484,11010
SOFA,2996,A54,,,,,1429,4550
SOFA,L017,C02,,,,,1435,4420
SOFA,3206,135,,,,,794,2520
SOFA,3039,311,,,,,333,1050
SOFA,3039,105,,,,,151,480
SOFA,1800,385,385.0,124,124,,142,460
SOFA,3256,066,,,,,804,2560
SOFA,2826,018,49.0,,,,1436,4580
SOFA,605K,704,,,,,1053,3100
SOFA,1800,376,385.0,,,,88,280
SOFA,2828,269,151.0,,,,2362,7160
SOFA,3265,101,,,,,1253,3190
SOFA,2882,066,,,,,610,1940
SOFA,1921,253,,,,,255,810
SOFA,2896,529,,,,,1070,2840
SOFA,2896,003,,,,,449,1210
SOFA,1800,385,,,,,41,130
SOFA,1921,224,224.0,,,,376,1200
SOFA,S032,009,,,,,1651,5260
SOFA,3032,018,201.0,,,,2709,8620
SOFA,1800,376,,,,,42,130
SOFA,1800,376,385.0,,,,55,170
SOFA,2811,017,200.0,,,,1268,3750
SOFA,2811,003,,,,,1132,3380
SOFA,3287,727,761.0,728,,,3254,10360
SOFA,3151,066,,,,,1406,4460
SOFA,3039,105,545.0,,,,359,1150
