codice_articolo,quantita,prezzo,marca,categoria_prodotto,nome_modello_o_prodotto,tipo_prodotto,materiale_principale,finitura_colore_principale,materiale_secondario_o_top,finitura_colore_secondario_o_top,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
CH230031400,1,1600,NATUZZI,"SEDIE CONFIGURABILI",Tennis,"Sedia con braccioli",Legno,Frassino Tabacco,Pelle,,59X60 H86,"SEDIA TENNIS C/BR PELLE CAT 15",Y7,CH230031400
CH230033000,1,1650,NATUZZI,"SEDIE CONFIGURABILI",Tennis,"Sedia con braccioli",Legno,Frassino Tabacco,Pelle,,59X60 H86,"SEDIA TENNIS C/BR PELLE CAT 30",Y7,CH230033000
CH230038300,1,1560,NATUZZI,"SEDIE CONFIGURABILI",Tennis,"Sedia con braccioli",Legno,Frassino Tabacco,Tessuto,,59X60 H86,"SEDIA TENNIS C/BR TESSUTO CAT 83",Y7,CH230038300
CH230039900,1,1610,NATUZZI,"SEDIE CONFIGURABILI",Tennis,"Sedia con braccioli",Legno,Frassino Tabacco,Tessuto,,59X60 H86,"SEDIA TENNIS C/BR TESSUTO CAT 99",Y7,CH230039900
CH23003A000,1,1590,NATUZZI,"SEDIE CONFIGURABILI",Tennis,"Sedia con braccioli",Legno,Frassino Tabacco,Pelle,,59X60 H86,"SEDIA TENNIS C/BR PELLE CTA0",Y7,CH23003A000
B01405X,1,8020,NATUZZI,"MOBILI ZONA NOTTE",Cala,Cassettiera,Legno-Pelle,Cammello,Legno,"Rovere Fumé Termocotto",201X54 H72,"CALA cassettiera Rovere 2017/Cammello",YP,DDN01400000005X
G849001XNA,1,2100,NATUZZI,CONSOLE,Ika,Console,Metallo,Antracite,Legno,Naturale,68X130 H75,"IKA Scrivania 130x68H75 Bronzo Dorato Rovere Naturale",YS,G849001XNA
G849002XNA,1,1260,NATUZZI,CONSOLE,Ika,"Cassetto per Scrivania",Legno Laccato,Beige Grigio,Legno Laccato,,50X37 H58,"IKA Cassetto 37x50H58 Laccato Grigio Beige",YP,G849002XNA
G875002XNA,1,3020,NATUZZI,CONSOLE,Inu,"Console Allungabile","Legno e Metallo",Frassino Nero,Fenix,Nero,180X98 H72,"INU Console All. 180X98(108)H72 Fenix Frassino Nero",YS,G875002XNA
E021MTV,1,4850,NATUZZI,CONSOLE,KENDO,Console,Metallo,Ottone,Legno,"Rovere Fumé",150X45 H62,"KENDO CONSOLE 150X45 H62 ROVERE FUMÉ-OTTONE",YS,DDE021BMTL6312P
