codice_articolo,quantita,prezzo,marca,categoria_prodotto,titolo_o_serie,materiale_supporto,colore_principale,materiale_cornice_protezione,colore_finitura_cornice_protezione,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
O600001XNA,1,550,NATUZZI,"ARTE DA PARETE","BIANCA LANCIA",Carta,,Legno,,73X6 H73,"BIANCALANCIA Decorazione Parete 73x73cm",Y2,O600001XNA
O198001XNA,1,690,NATUZZI,"ARTE DA PARETE","COSTANZA D'ALTAVILLA",Carta,,Legno,Nero,73X6 H93,"COSTANZA D'ALTAVILLA Decorazione Parete 73x93cm",Y1,O198001XNA
O981001XNA,1,550,NATUZZI,"ARTE DA PARETE","DONNA A TEATRO",Carta,,Legno,,73X6 H73,"DONNA A TEATRO Decorazione Parete 73x73cm",Y2,O981001XNA
O601001XNA,1,550,NATUZZI,"ARTE DA PARETE","DONNA BILANCIA",Carta,,Legno,,73X6 H73,"DONNA BILANCIA Decorazione Parete 73x73cm",Y2,O601001XNA
O200001XNA,1,690,NATUZZI,"ARTE DA PARETE","IMPERATORE FEDERICO II DI SVEVIA",Carta,,Legno,Nero,73X6 H93,"IMPERATORE FEDERICO II Decorazione Parete 73x93cm",Y1,O200001XNA
O194001XNA,1,600,NATUZZI,"ARTE DA PARETE","LA STREGA",Carta,,Legno,Nero,73X6 H73,"LA STREGA Decorazione Parete 73x73cm",Y1,O194001XNA
O192001XNA,1,600,NATUZZI,"ARTE DA PARETE",MIA,Carta,,Legno,Nero,73X6 H73,"MIA Decorazione Parete 73x73cm",Y1,O192001XNA
O195001XNA,1,600,NATUZZI,"ARTE DA PARETE","NON COLGO I FIORI LI UCCIDEREI",Carta,,Legno,Nero,73X6 H73,"NON COLGO I FIORI Decorazione Parete 73x73cm",Y1,O195001XNA
O596001XNA,1,550,NATUZZI,"ARTE DA PARETE",NOTAIO,Carta,,Legno,,73X6 H73,"NOTAIO Decorazione Parete 73x73cm",Y2,O596001XNA
O929001XNA,1,1310,NATUZZI,"ARTE DA PARETE",PICA,Carta,Multicolore,Vetro,Trasparente,113 H83,"PICA I 113X83 JAIME JURADO",Y2,O929001XNA
O929002XNA,1,1310,NATUZZI,"ARTE DA PARETE",PICA,Carta,Multicolore,Vetro,Trasparente,113 H83,"PICA II 113X83 JAIME JURADO",Y2,O929002XNA
O196001XNA,1,690,NATUZZI,"ARTE DA PARETE",PUGLIA,Carta,,Legno,Nero,73X6 H93,"PUGLIA Decorazione Parete 73x93cm",Y1,O196001XNA
O930001XNA,1,1310,NATUZZI,"ARTE DA PARETE",ROAD,Carta,Multicolore,Vetro,Trasparente,113 H83,"ROAD I 113X83 JAIME JURADO",Y2,O930001XNA
O930002XNA,1,1310,NATUZZI,"ARTE DA PARETE",ROAD,Carta,Multicolore,Vetro,Trasparente,113 H83,"ROAD II 113X83 JAIME JURADO",Y2,O930002XNA
O197001XNA,1,690,NATUZZI,"ARTE DA PARETE","SIâ€¦",Carta,,Legno,Nero,73X6 H93,"SI... Decorazione Parete 73x93cm",Y1,O197001XNA
O931001XNA,1,1630,NATUZZI,"ARTE DA PARETE",SILUETA,Legno,Multicolore,,,120 H90,"SILUETA I 120x90 JAIME JURADO",Y2,O931001XNA
O931002XNA,1,1630,NATUZZI,"ARTE DA PARETE",SILUETA,Legno,Multicolore,,,120 H90,"SILUETA II 120x90 JAIME JURADO",Y2,O931002XNA
O928001XNA,1,1310,NATUZZI,"ARTE DA PARETE","SUEÃ‘O",Carta,Multicolore,Vetro,Trasparente,113 H83,"SUEÃ‘O I 113X83 JAIME JURADO",Y2,O928001XNA
O928002XNA,1,1310,NATUZZI,"ARTE DA PARETE","SUEÃ‘O",Carta,Multicolore,Vetro,Trasparente,113 H83,"SUEÃ‘O II 113X83 JAIME JURADO",Y2,O928002XNA
O193001XNA,1,600,NATUZZI,"ARTE DA PARETE","TI DO' IL MIO CUORE",Carta,,Legno,Nero,73X6 H73,"TI DO' IL MIO CUORE Decorazione Parete 73x73cm",Y1,O193001XNA
O982001XNA,1,550,NATUZZI,"ARTE DA PARETE","TOTOCECÃˆ",Carta,,Legno,,73X3 H73,"TOTOCECÃˆ Decorazione Parete 73x73cm",Y2,O982001XNA
O927001XNA,1,1310,NATUZZI,"ARTE DA PARETE","TRIPTICO JARRA",Carta,Multicolore,Vetro,Trasparente,113 H83,"TRIPTICO JARRA II 113X83 JAIME JURADO",Y2,O927001XNA
O927002XNA,1,1310,NATUZZI,"ARTE DA PARETE","TRIPTICO JARRA",Carta,Multicolore,Vetro,Trasparente,113 H83,"TRIPTICO JARRA III 113X83 JAIME JURADO",Y2,O927002XNA
O199001XNA,1,690,NATUZZI,"ARTE DA PARETE","UNA DONNA",Carta,,Legno,Nero,73X6 H93,"UNA DONNA Decorazione Parete 73x93cm",Y1,O199001XNA
