codice_articolo,quantita,prezzo,marca,categoria_prodotto,nome_modello,tipo_mobile,materiale_struttura,finitura_struttura,materiale_piano,finitura_piano,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
B01404X,1,8020,NATUZZI,"CASSETTIERE E COMO'",CALA,"Cassettiera/Comò",Legno-Pelle,Marrone Scuro,Legno,Noce 2017,201X54 H72,"CALA Cassettiera Noce 2017/Testa di Moro",Y2,DDN01400000004X
N74401X,1,8380,NATUZZI,"CASSETTIERE E COMO'",Campus,"Cassettiera/Comò",Legno-Laccato,"Eucalipto - Laccato Lucido Cotto","Metallo/Legno","Cromo Nero Lucido - Legno Eucalipto",55X170 H74,"CAMPUS Cassettiera 170x55H74 EUCALIPTO/COTTO LUCIDO",Y2,DDN74400000001X
N74402X,1,7480,NATUZZI,"CASSETTIERE E COMO'",Campus,Settimanale,Legno-Laccato,"Eucalipto - Laccato Lucido Cotto","Metallo/Legno","Cromo Nero Lucido - Legno Eucalipto",55X70 H135,"CAMPUS Settimanale 70x55 H135 EUCALIPTO/COTTO LUCIDO",Y2,DDN74400000002X
B005LMV,1,3020,NATUZZI,"CASSETTIERE E COMO'",EUCLIDE,"Cassettiera/Comò",Legno Laccato,Caffè Opaco,Metallo,Caffè Opaco,190X55 H65,"EUCLIDE Cassettiera Caffè-Caffè",Y2,DDN005CLGM24240
B01003X,1,3930,NATUZZI,"CASSETTIERE E COMO'",FENICE,"Cassettiera/Comò",Legno Laccato,Gesso Bianco,Vetro,Gesso Bianco,50X140 H78,"FENICE CASSETTIERA BIANCO GESSO LUCIDO+OPACO",Y2,DDN01000000003X
B01004X,1,3930,NATUZZI,"CASSETTIERE E COMO'",FENICE,"Cassettiera/Comò",Legno Laccato,Visone,Vetro,Visone,50X140 H78,"FENICE CASSETTIERA L140 VISONE LUCIDO",Y2,DDN01000000004X
B002LBC,1,2370,NATUZZI,"CASSETTIERE E COMO'",MONDRIAN,"Cassettiera/Comò",Legno Laccato,Blu Opaco,Metallo,Nickel,160X50 H70,"MONDRIAN Cassettiera BLU-NICKEL",Y2,DDN002CLGM60NIV
B002LGC,1,2370,NATUZZI,"CASSETTIERE E COMO'",MONDRIAN,"Cassettiera/Comò",Legno Laccato,Grigio Opaco,Metallo,Nickel,160X50 H70,"MONDRIAN Cassettiera GRIGIO-NICKEL",Y2,DDN002CLGM63NIV
B002LNC,1,2960,NATUZZI,"CASSETTIERE E COMO'",MONDRIAN,"Cassettiera/Comò",Legno,Noce,Metallo,Caffè Opaco,160X50 H70,"MONDRIAN Cassettiera Grande 160X50H70 CAFFÈ OPACO-NOCE",Y2,DDN002CLGM24040
B002LWC,1,2370,NATUZZI,"CASSETTIERE E COMO'",MONDRIAN,"Cassettiera/Comò",Legno,Bianco Opaco,Metallo,Nickel,160X50 H70,"MONDRIAN Cassettiera BIANCO-NICKEL",Y2,DDN002CLGM52NIV
B004RLH,1,6060,NATUZZI,"CASSETTIERE E COMO'",MUNARI,Credenza,Legno,"Rovere Fumé",Marmo,"Oro Calacatta",220X53 H75,"MUNARI Credenza 220X53 H75 ROVERE FUMÉ-CALACATTA ORO",Y2,DDN004MLGV12OR0
B00701X,1,5020,NATUZZI,"CASSETTIERE E COMO'",SVEVO,"Cassettiera/Comò",Legno-Vetro,Rovere,"Legno e Metallo",Caffè,55X200 H77,"SVEVO CASSETTIERA ROVERE 2017/CAFFÈ",Y2,DDN00700000001X
B00901X,1,4540,NATUZZI,"CASSETTIERE E COMO'",VENERE,"Cassettiera/Comò","Legno e Metallo","Rovere Fumé/Ottone",Legno,"Rovere Fumé",55X150 H77,"VENERE CASSETTIERA ROVERE 2017/OTTONE",Y2,DDN00900000001X
B00902X,1,4540,NATUZZI,"CASSETTIERE E COMO'",VENERE,"Cassettiera/Comò","Legno e Metallo","Noce/Cromo Nero Lucido",Legno,Noce,55X150 H77,"VENERE CASSETTIERA NOCE 2017/CROMO NERO LUCIDO",Y2,DDN00900000002X
