codice_articolo,quantita,prezzo,marca,categoria_prodotto,nome_modello,tipo_mobile,materiale_struttura,finitura_struttura,materiale_piano,finitura_piano,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
E03902X,1,6640,NATUZZI,"CREDENZE E MOBILI CONTENITORI",Create,Credenza,Legno,"Noce/Verde Oliva",Legno,Noce,45X160 H78,"CREATE MADIA L160H78 NOCE 2017 VERDE OLIVA",YS,DDE03900000002X
E02718X,1,6390,NATUZZI,"CREDENZE E MOBILI CONTENITORI",Filrouge,Credenza,"Legno e Metallo","Rovere Grigio Cenere/Nero Rosa",Marmo,Volakas,50X180 H61,"FIL ROUGE MADIA L180 ROVERE CENERE/VOLAKAS",YP,DDE02700000018X
T17302X,1,5980,NATUZZI,"CREDENZE E MOBILI CONTENITORI",ORFEO,Credenza,Metallo,"Antracite Opaco/Nero Brunito/Ottone",,,117X50 H140,"ORFEO MADIA L117 ANTRACITE OPACO/NERO BRUNITO",YP,DDT17300000002X
W02202X,1,6630,NATUZZI,"CREDENZE E MOBILI CONTENITORI",ORFEO,Vetrina,Metallo,"Cioccolato/Oro Rosa",Legno Laccato,Cioccolato,50X117 H140,"ORFEO Vetrina L117 Cioccolato",YP,DDW02200000002X
W00703X,1,7710,NATUZZI,"CREDENZE E MOBILI CONTENITORI",PHANTOM,Credenza,Legno,"Rovere Fumé Termocotto",Legno Laccato,Azzurro Chiaro,53X200 H73,"PHANTOM Madia L200H73 Rovere 2017/Azzurro",YS,DDW00700000003X
W01101X,1,9700,NATUZZI,"CREDENZE E MOBILI CONTENITORI",Campus,"Credenza con ante","Legno e Metallo","Legno Frassino/Tabacco/Champagne",Legno,"Legno Frassino/Tabacco/Champagne",220X54 H72,"CAMPUS Madia L220 Frassino Tabacco",Y2,DDW01100000001X
E02714X,1,6450,NATUZZI,"CREDENZE E MOBILI CONTENITORI",Filrouge,Credenza,Metallo,"Nero Rosa/Blu Lucido",Legno Laccato,Blu Lucido,50X200 H75,"FIL ROUGE MADIA L200 BLU ROYAL LUCIDO NERO ROSA",Y2,DDE02700000014X
E02715X,1,6100,NATUZZI,"CREDENZE E MOBILI CONTENITORI",Filrouge,Credenza,Metallo,"Nero Brunito/Piombo Lucido",Legno Laccato,Piombo Lucido,50X200 H75,"FIL ROUGE MADIA L200 PIOMBO LUCIDO NERO BRUNITO",Y2,DDE02700000015X
E02716X,1,6870,NATUZZI,"CREDENZE E MOBILI CONTENITORI",Filrouge,Credenza,"Legno e Metallo","Rovere Fumé/Nero Brunito",Marmo,Volakas,50X180 H61,"FIL ROUGE MADIA L180 ROVERE 2017/VOLAKAS",Y2,DDE02700000016X
W003001,1,4140,NATUZZI,"CREDENZE E MOBILI CONTENITORI",FORTUNA,Credenza,Legno,Rovere Grigio,Vetro,Bianco Smaltato,220X50 H72,"FORTUNA CREDENZA 220X50X72 ROVERE GRIGIO",Y2,W00335102001101
W003002,1,3790,NATUZZI,"CREDENZE E MOBILI CONTENITORI",FORTUNA,Credenza,Legno,"Rovere Fumé",Vetro,Caffè Smaltato,220X50 H72,"FORTUNA CREDENZA ROVERE FUMÉ",Y2,W00335102001205
W003005,1,6840,NATUZZI,"CREDENZE E MOBILI CONTENITORI",FORTUNA,Credenza,Legno,Legno Frassino Tabacco,Legno,Legno Frassino Tabacco,220X50 H72,"FORTUNA Madia L220 Tabacco",Y2,W00335119040021
W015005,1,3380,NATUZZI,"CREDENZE E MOBILI CONTENITORI",IDO,"Credenza con ante","Legno e Metallo","Radica Frisè/Peltro",Legno,,150X37 H65,"IDO BOX CON ANTE 150x37H65 RADICA FRISÈ-PELTRO",Y2,W01551121071134
T16304X,1,6870,NATUZZI,"CREDENZE E MOBILI CONTENITORI",KENDO,Credenza,"Legno e Metallo","Rovere Fumé/Ottone",Legno,"Rovere Fumé",50X198 H80,"KENDO MADIA L198 ROVERE 2017/OTTONE",Y2,DDT16300000004X
T17201X,1,11020,NATUZZI,"CREDENZE E MOBILI CONTENITORI",PHANTOM,Credenza,Legno,Noce,Marmo,Volakas,53X200 H88,"PHANTOM MADIA L200H88 NOCE 2017/VOLAKAS",Y2,DDT17200000001X
T17202X,1,8050,NATUZZI,"CREDENZE E MOBILI CONTENITORI",PHANTOM,Credenza,Legno,"Noce & Vino",Legno,Noce,53X200 H73,"PHANTOM MADIA L200H73 NOCE 2017/VINO OPACO",Y2,DDT17200000002X
T17203X,1,6620,NATUZZI,"CREDENZE E MOBILI CONTENITORI",PHANTOM,Vetrina,Legno,"Noce & Vino",Legno,Noce,53X90 H130,"PHANTOM VETRINA NOCE 2017/VINO OPACO",Y2,DDT17200000003X
W00701X,1,10860,NATUZZI,"CREDENZE E MOBILI CONTENITORI",PHANTOM,"Credenza con ante",Legno,"Rovere Fumé Termocotto",Marmo,"Invisible Gray",53X200 H88,"PHANTOM Madia L200H88 Rovere 2017/Invisible Gray",Y2,DDW00700000001X
W00702X,1,6510,NATUZZI,"CREDENZE E MOBILI CONTENITORI",PHANTOM,Vetrina,Legno,"Rovere Fumé Termocotto",Legno Laccato,Azzurro Chiaro,53X90 H130,"PHANTOM Vetrina Rovere 2017/Azzurro",Y2,DDW00700000002X
