codice_articolo,quantita,prezzo,marca,categoria_prodotto,nome_modello,tipo_lampada,materiale_struttura,finitura_struttura,materiale_paralume,finitura_paralume,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
L50601G,1,2520,NATUZZI,LAMPADE,Circle,Da Tavolo,Metallo,Cromo Nero Lucido,Vetro,,27X31 H52,"CIRCLE LAMPADA TAVOLO CROMO NERO LUCIDO",YP,DDL50600000001G
L50602G,1,2520,NATUZZI,LAMPADE,Circle,Da Tavolo,Metallo,Ottone Opaco,Marmo,Bianco,27X31 H52,"CIRCLE LAMPADA TAVOLO OTTONE OPACO MARMO BIANCO",YP,DDL50600000002G
L50603G,1,3250,NATUZZI,LAMPADE,Circle,A Sospensione,Metallo,Ottone Opaco,Vetro,,50X55 H55,"CIRCLE LAMPADA SOSPENSIONE OTTONE OPACO",YP,DDL50600000003G
L50604G,1,3250,NATUZZI,LAMPADE,Circle,A Sospensione,Metallo,Cromo Nero Lucido,Vetro,,50X55 H55,"CIRCLE LAMPADA SOSPENSIONE CROMO NERO LUCIDO",YP,DDL50600000004G
L51401G,1,1720,NATUZZI,LAMPADE,Colosseo,Piantana,Metallo,Oro Rosa,,,13X29 H141,"COLOSSEO PIANTANA H141 METALLO ORO ROSA",YS,DDL51400000001G
L51403G,1,1390,NATUZZI,LAMPADE,Colosseo,Da Tavolo,Metallo,Oro Rosa,,,22X27 H49,"COLOSSEO LAMPADA TAVOLO H49 METALLO ORO ROSA",YS,DDL51400000003G
L51406G,1,1290,NATUZZI,LAMPADE,Colosseo,A Pinza,Metallo,Cromo Nero,,,8X26 H109,"COLOSSEO LAMPADA PER DIVANO H109 CROMO NERO",YP,DDL51400000006G
L51408G,1,1230,NATUZZI,LAMPADE,Colosseo,A Pinza,Metallo,Cromo Nero,,,9X26 H53,"COLOSSEO LAMPADA PER BOISERIE H53 CROMO NERO",YP,DDL51400000008G
L51409G,1,1290,NATUZZI,LAMPADE,Colosseo,A Sospensione,Metallo,Oro Rosa,,,5X26 H63,"COLOSSEO A Sospensione H63 ORO ROSA",YS,DDL51400000009G
L51410G,1,1020,NATUZZI,LAMPADE,Colosseo,A Sospensione,Metallo,Cromo Nero,,,5X26 H63,"COLOSSEO A Sospensione H63 CROMO NERO",YP,DDL51400000010G
L51415G,1,1320,NATUZZI,LAMPADE,Colosseo,A Sospensione,Metallo,Champagne,Metallo,Champagne,,"COLOSSEO A Sospensione H63 CHAMPAGNE",YS,DDL51400000015G
L51501G,1,1790,NATUZZI,LAMPADE,Dami,Piantana,Metallo,Nero,Vetro,"Rame/Specchio Trasparente",50X50 H180,"DAMI Lampada piantana Nero/Rame",YS,DDL51500000001G
L51502G,1,1460,NATUZZI,LAMPADE,Dami,A Sospensione,Metallo,Nero,Vetro,"Rame/Specchio Trasparente",46X46 H64,"DAMI Lampada sosp. D46 Nero/Rame",YS,DDL51500000002G
L51503G,1,1300,NATUZZI,LAMPADE,Dami,A Sospensione,Metallo,Nero,Vetro,"Rame/Specchio Trasparente",35X35 H48,"DAMI Lampada sosp. D35 Nero/Rame",YS,DDL51500000003G
L51504G,1,1340,NATUZZI,LAMPADE,Dami,Da Tavolo,Metallo,Nero,Vetro,"Rame/Specchio Trasparente",46X46 H67,"DAMI Lampada tavolo D46 Nero/Rame",YS,DDL51500000004G
L51505G,1,1190,NATUZZI,LAMPADE,Dami,Da Tavolo,Metallo,Nero,Vetro,"Rame/Specchio Trasparente",35X35 H50,"DAMI Lampada tavolo D35 Nero/Rame",YS,DDL51500000005G
L51201G,1,990,NATUZZI,LAMPADE,"Ding Dong",Da Tavolo,Metallo,Bianco,Pelle,Bianco,22X22 H48,"DING DONG LAMPADA TAVOLO BIANCO BIANCO",YS,DDL51200000001G
L51202G,1,1890,NATUZZI,LAMPADE,"Ding Dong",Piantana,Metallo,Bianco,Pelle,Bianco,45X45 H179,"DING DONG LAMPADA PIANTANA BIANCO BIANCO",YS,DDL51200000002G
L51203G,1,870,NATUZZI,LAMPADE,"Ding Dong",A Sospensione,Metallo,Bianco,Pelle,Bianco,22X22 H75,"DING DONG LAMPADA SOSPENSIONE PICCOLA BIANCO BIANCO",YP,DDL51200000003G
L51204G,1,1110,NATUZZI,LAMPADE,"Ding Dong",A Sospensione,Metallo,Bianco,Pelle,Bianco,35X35 H84,"DING DONG LAMPADA SOSPENSIONE MEDIA BIANCO BIANCO",YP,DDL51200000004G
L51205G,1,1320,NATUZZI,LAMPADE,"Ding Dong",A Sospensione,Metallo,Bianco,Pelle,Bianco,45X45 H94,"DING DONG LAMPADA SOSPENSIONE GRANDE BIANCO BIANCO",YP,DDL51200000005G
L500PBG,1,910,NATUZZI,LAMPADE,ELSA,Piantana,Metallo,Blu Opaco,,,127.5X30 H158,"ELSA PIANTANA H150 BLU OPACO",YS,DDL500PFR06000G
L500PPG,1,910,NATUZZI,LAMPADE,ELSA,Piantana,Metallo,Marsala Opaco,,,127.5X30 H158,"ELSA PIANTANA H150 MARSALA OPACO",YS,DDL500PFR06100G
L500PVG,1,910,NATUZZI,LAMPADE,ELSA,Piantana,Metallo,Verde Opaco,,,127.5X30 H158,"ELSA PIANTANA H150 VERDE OPACO",YS,DDL500PFR05000G
L51106G,1,900,NATUZZI,LAMPADE,GALILEO,Da Tavolo,Legno,Nero,Metallo,Creta,18X14 H35,"GALILEO Lampada Tavolo H35 Legno Nero Metallo Creta",YP,DDL51100000006G
L51107G,1,1030,NATUZZI,LAMPADE,GALILEO,Da Tavolo,Legno,Nero,Metallo,Creta,23X17 H45,"GALILEO Lampada Tavolo H45 Legno Nero Metallo Creta",YP,DDL51100000007G
L51108G,1,1140,NATUZZI,LAMPADE,GALILEO,Da Tavolo,Marmo,Marmo Volakas,Metallo,Grigio Lucido,18X14 H35,"GALILEO Lampada Tavolo H35 Marmo Volakas Metallo Grigio",YP,DDL51100000008G
L51109G,1,1330,NATUZZI,LAMPADE,GALILEO,Da Tavolo,Marmo,Marmo Volakas,Metallo,Grigio Lucido,23X17 H45,"GALILEO Lampada Tavolo H45 Marmo Volakas Metallo Grigio",YP,DDL51100000009G
L51110G,1,1140,NATUZZI,LAMPADE,GALILEO,Da Tavolo,Marmo,Marmo Volakas,Metallo,Blu Lucido,18X14 H35,"GALILEO Lampada Tavolo H35 Marmo Volakas Metallo Blu",YP,DDL51100000010G
L51111G,1,1330,NATUZZI,LAMPADE,GALILEO,Da Tavolo,Marmo,Marmo Volakas,Metallo,Blu Lucido,23X17 H45,"GALILEO Lampada Tavolo H45 Marmo Volakas Metallo Blu",YP,DDL51100000011G
L51112G,1,900,NATUZZI,LAMPADE,GALILEO,Da Tavolo,Legno,Nero Opaco,Metallo,Avana,18X14 H35,"GALILEO Lampada Tavolo H35 Legno Nero Metallo Avana",YS,DDL51100000012G
L51113G,1,1030,NATUZZI,LAMPADE,GALILEO,Da Tavolo,Legno,Nero Opaco,Metallo,Avana,23X18 H45,"GALILEO Lampada Tavolo H45 Legno Nero Metallo Avana",YP,DDL51100000013G
L51114G,1,900,NATUZZI,LAMPADE,GALILEO,Da Tavolo,Legno,Nero Opaco,Metallo,Bianco Lucido,18X14 H35,"GALILEO Lampada Tavolo H35 Legno Nero Metallo Bianco",YS,DDL51100000014G
L51115G,1,1030,NATUZZI,LAMPADE,GALILEO,Da Tavolo,Legno,Nero Opaco,Metallo,Bianco Lucido,23X17 H45,"GALILEO Lampada Tavolo H45 Legno Nero Metallo Bianco",YS,DDL51100000015G
L50501G,1,2290,NATUZZI,LAMPADE,Halo,Da Tavolo,Metallo,Nickel Brunito,Vetro,Champagne,18X23 H58,"HALO LAMPADA TAVOLO NICKEL BRUNITO CHAMPAGNE",YS,DDL50500000001G
L50502G,1,2220,NATUZZI,LAMPADE,Halo,A Sospensione,Metallo,Nickel Brunito,Vetro,Champagne,32X23 H60,"HALO LAMPADA SOSPENSIONE H60 NICKEL BRUNITO CHAMPAGNE",YS,DDL50500000002G
L50503G,1,2180,NATUZZI,LAMPADE,Halo,A Sospensione,Metallo,Nickel Brunito,Vetro,Champagne,16X19 H50,"HALO LAMPADA SOSPENSIONE H48 NICKEL BRUNITO CHAMPAGNE",YP,DDL50500000003G
