codice_articolo,quantita,prezzo,marca,categoria_prodotto,nome_modello,tipo_prodotto,materiale_interno,materiale_fodera_esterna,colore_fodera_esterna,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
F006001,1,3450,NATUZZI,"MATERASSI E GUANCIALI",ATLAS,Materasso,"Gomma Naturale e Fibre (6 strati)",Cotone,Avorio,200X193 H18,"ATLAS MATERASSO GOMMA 200X193H18 AVORIO",Y2,DDB00600000001X
F006005,1,3450,NATUZZI,"MATERASSI E GUANCIALI",ATLAS,Materasso,"Gomma Naturale e Fibre (6 strati)",Cotone,Avorio,200X180 H18,"ATLAS MATERASSO GOMMA 200X180H18 AVORIO",Y2,DDB00600000005X
F006009,1,2910,NATUZZI,"MATERASSI E GUANCIALI",ATLAS,Materasso,"Gomma Naturale e Fibre (6 strati)",Cotone,Avorio,200X160 H18,"ATLAS MATERASSO GOMMA 200X160H18 AVORIO",Y2,DDB00600000009X
F006013,1,2910,NATUZZI,"MATERASSI E GUANCIALI",ATLAS,Materasso,"Gomma Naturale e Fibre (6 strati)",Cotone,Avorio,200X152 H18,"ATLAS MATERASSO GOMMA 200X152H18 AVORIO",Y2,DDB00600000013X
F008001,1,1830,NATUZZI,"MATERASSI E GUANCIALI",IVISKOS,Topper,Gomma Naturale,Cotone,Avorio,200X193 H6,"IVISKOS TOPPER GOMMA 200X193H6 AVORIO",Y2,DDB00800000001X
F008005,1,1830,NATUZZI,"MATERASSI E GUANCIALI",IVISKOS,Topper,Gomma Naturale,Cotone,Avorio,200X180 H6,"IVISKOS TOPPER GOMMA 200X180H6 AVORIO",Y2,DDB00800000005X
F008009,1,1500,NATUZZI,"MATERASSI E GUANCIALI",IVISKOS,Topper,Gomma Naturale,Cotone,Avorio,200X160 H6,"IVISKOS TOPPER GOMMA 200X160H6 AVORIO",Y2,DDB00800000009X
F008013,1,1500,NATUZZI,"MATERASSI E GUANCIALI",IVISKOS,Topper,Gomma Naturale,Cotone,Avorio,200X152 H6,"IVISKOS TOPPER GOMMA 200X152H6 AVORIO",Y2,DDB00800000013X
F012001,1,54,NATUZZI,"MATERASSI E GUANCIALI","NARKISSOS-1",Guanciale,"Fiocchi di Schiuma di Gomma Naturale",,Naturale,50X70,"NARKISSOS-1 GUANCIALE FIOCCHI GOMMA NATURALE 50X70",Y2,DDB01200000001X
F007001,1,4850,NATUZZI,"MATERASSI E GUANCIALI",PROTEAS,Materasso,"Gomma Naturale e Fibre (6 strati)",Cotone,Avorio,200X193 H25,"PROTEAS MATERASSO GOMMA 200X193H25 AVORIO",Y2,DDB00700000001X
F007005,1,4420,NATUZZI,"MATERASSI E GUANCIALI",PROTEAS,Materasso,"Gomma Naturale e Fibre (6 strati)",Cotone,Avorio,200X180 H25,"PROTEAS MATERASSO GOMMA 200X180H25 AVORIO",Y2,DDB00700000005X
F007009,1,3770,NATUZZI,"MATERASSI E GUANCIALI",PROTEAS,Materasso,"Gomma Naturale e Fibre (6 strati)",Cotone,Avorio,200X160 H25,"PROTEAS MATERASSO GOMMA 200X160H25 AVORIO",Y2,DDB00700000009X
F007013,1,3770,NATUZZI,"MATERASSI E GUANCIALI",PROTEAS,Materasso,"Gomma Naturale e Fibre (6 strati)",Cotone,Avorio,200X152 H25,"PROTEAS MATERASSO GOMMA 200X152H25 AVORIO",Y2,DDB00700000013X
F009001,1,86,NATUZZI,"MATERASSI E GUANCIALI","SITHON-1",Guanciale,"Fiocchi di Schiuma di Gomma Naturale",,Naturale,50X70,"SITHON-1 GUANCIALE FIOCCHI GOMMA NATURALE 50X70",Y2,DDB00900000001X
F010001,1,130,NATUZZI,"MATERASSI E GUANCIALI","SITHON-3",Guanciale,"Misto Piuma Anatra e Piumino",,Naturale,50X70,"SITHON-3 GUANCIALE PIUMA OCA 50X70",Y2,DDB01000000001X
F011001,1,150,NATUZZI,"MATERASSI E GUANCIALI","SITHON-5",Guanciale,"Pura Lana Vergine",,Naturale,50X70,"SITHON-5 GUANCIALE LANA VERGINE 50X70",Y2,DDB01100000001X
F00502X,1,830,NATUZZI,"MATERASSI E GUANCIALI","MATERASSO NATUZZI","Materasso a Molle",Molle,Poliestere,Bianco,120X200 H23,"MATERASSO NATUZZI MOLLE INSACCHETTATE 120X200H23 BIANCO",Y2,DDB00500000002X
