codice_articolo,quantita,prezzo,marca,categoria_prodotto,nome_modello_o_linea,tipo_oggetto,materiale,finitura_colore_principale,materiale_secondario,colore_secondario,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
A888V0W,1,173,NATUZZI,OGGETTI DECORATIVI,BAMBU,Vaso,Vetro,Trasparente,,,10 H40,"BAMBU VASO D10 H40 TRASPARENTE",YS,DDO888TVT000001
A11201X,1,250,NATUZZI,OGGETTI DECORATIVI,"Castel Del Monte",Piatto Decorativo,Ceramica,Bianco,,,45X45 H4,"CASTEL DEL MONTE PIATTO D45 BIANCO BLU MARE",Y6,DDO11200000001X
A11202X,1,250,NATUZZI,OGGETTI DECORATIVI,"Castel Del Monte",Piatto Decorativo,Ceramica,Bianco,,,45X45 H4,"CASTEL DEL MONTE PIATTO D45 BIANCO BLU MARE",Y6,DDO11200000002X
A11203X,1,250,NATUZZI,OGGETTI DECORATIVI,"Castel Del Monte",Piatto Decorativo,Ceramica,Bianco,,,45X45 H4,"CASTEL DEL MONTE PIATTO D45 BIANCO BLU MARE",Y6,DDO11200000003X
A11208X,1,194,NATUZZI,OGGETTI DECORATIVI,"Castel Del Monte",Vaso,Ceramica,Bianco,,,14X14 H32,"CASTEL DEL MONTE VASO H32 BIANCO BLU MARE",Y6,DDO11200000008X
A11209X,1,210,NATUZZI,OGGETTI DECORATIVI,"Castel Del Monte",Vaso,Ceramica,Bianco,,,14X14 H38,"CASTEL DEL MONTE VASO H38 BIANCO BLU MARE",Y6,DDO11200000009X
A887V00,1,250,NATUZZI,OGGETTI DECORATIVI,CESTO,Vaso,Vetro,Trasparente,,,30 H14,"CESTO VASO D30 H14 TRASPARENTE",YP,DDO8870VT000000
A843V31,1,205,NATUZZI,OGGETTI DECORATIVI,FLOAT,Vaso,Vetro,Prugna,,,15,"FLOAT VASO RW25 VIOLA D.15",YS,DDO8430VT065000
A843V32,1,750,NATUZZI,OGGETTI DECORATIVI,FLOAT,Vaso,Vetro,Prugna,,,30,"FLOAT VASO RW25 VIOLA D.30",YS,DDO8430VT065001
A12905X,1,70,NATUZZI,OGGETTI DECORATIVI,PUMO,Pumo,Ceramica,Nocciola,,,13 H20,"PUMO PUMO LISCIO D13H20 NOCCIOLA",YS,DDO12900000005X
A12906X,1,70,NATUZZI,OGGETTI DECORATIVI,PUMO,Pumo,Ceramica,Gesso,,,13 H20,"PUMO PUMO LISCIO D13H20 GESSO",YS,DDO12900000006X
A12914X,1,156,NATUZZI,OGGETTI DECORATIVI,PUMO,Pumo,Ceramica,Verde Scuro,,,20 H30,"PUMO PUMO RIGHE D20H30 VERDE SCURO",YS,DDO12900000014X
A867011,1,150,NATUZZI,OGGETTI DECORATIVI,QUADRI,Quadro,Legno,,,,50 H50,"QUADRO SOGGETTO FICHI D'INDIA 50X50H2 CAFFÈ",Y6,DDO867QLG10000V
A867016,1,184,NATUZZI,OGGETTI DECORATIVI,QUADRI,Quadro,Legno,,,,70 H70,"QUADRO SOGGETTO DUOMO 70X70H2 CAFFÈ",Y6,DDO867QLG100005
A867017,1,150,NATUZZI,OGGETTI DECORATIVI,QUADRI,Quadro,Legno,,,,50 H50,"QUADRO SOGGETTO MURO 50X50H2 CAFFÈ",Y6,DDO867QLG100006
A86701V,1,150,NATUZZI,OGGETTI DECORATIVI,QUADRI,Quadro,Legno,,,,50 H50,"QUADRO SOGGETTO ULIVO 50X50H2 CAFFÈ",Y6,DDO867QLG100009
A867L12,1,108,NATUZZI,OGGETTI DECORATIVI,QUADRI,Quadro,Legno,,,,32 H39,"QUADRO SOGGETTO CAMPANA 39X32H2 CAFFÈ",Y6,DDO867RLG100001
A867L13,1,108,NATUZZI,OGGETTI DECORATIVI,QUADRI,Quadro,Legno,,,,32 H39,"QUADRO SOGGETTO CAMPANILE 32X39H2 CAFFÈ",Y6,DDO867RLG100002
A867L14,1,108,NATUZZI,OGGETTI DECORATIVI,QUADRI,Quadro,Legno,,,,32 H39,"QUADRO SOGGETTO CHIESA 32X39H2 CAFFÈ",Y6,DDO867RLG100003
A867L15,1,108,NATUZZI,OGGETTI DECORATIVI,QUADRI,Quadro,Legno,,,,32 H39,"QUADRO SOGGETTO EDERA 39X32H2 CAFFÈ",Y6,DDO867RLG100004
A867L18,1,108,NATUZZI,OGGETTI DECORATIVI,QUADRI,Quadro,Legno,,,,32 H39,"QUADRO SOGGETTO FRANTOIO 32X39H2 CAFFÈ",Y6,DDO867RLG100007
A867L19,1,108,NATUZZI,OGGETTI DECORATIVI,QUADRI,Quadro,Legno,,,,32 H39,"QUADRO SOGGETTO PAPAVERI 39X32H2 CAFFÈ",Y6,DDO867RLG100008
A867L1V,1,108,NATUZZI,OGGETTI DECORATIVI,QUADRI,Quadro,Legno,,,,32 H39,"QUADRO SOGGETTO POZZO 32X39H2 CAFFÈ",Y6,DDO867RLG100009
A867L1W,1,108,NATUZZI,OGGETTI DECORATIVI,QUADRI,Quadro,Legno,,,,32 H39,"QUADRO SOGGETTO TRULLO 39X32H2 CAFFÈ",Y6,DDO867RLG10000W
A13401X,1,220,NATUZZI,OGGETTI DECORATIVI,Rosone,Piatto Decorativo,Ceramica,Bianco,,Oliva,40X40 H3,"ROSONE PIATTO D40H3 BIANCO OLIVA SOGG1",Y6,DDO13400000001X
A13402X,1,220,NATUZZI,OGGETTI DECORATIVI,Rosone,Piatto Decorativo,Ceramica,Bianco,,Oliva,40X40 H3,"ROSONE PIATTO D40H3 BIANCO OLIVA SOGG2",Y6,DDO13400000002X
A13403X,1,220,NATUZZI,OGGETTI DECORATIVI,Rosone,Piatto Decorativo,Ceramica,Bianco,,Oliva,40X40 H3,"ROSONE PIATTO D40H3 BIANCO OLIVA SOGG3",Y6,DDO13400000003X
A885V00,1,194,NATUZZI,OGGETTI DECORATIVI,SOFFIO,Vaso,Vetro,Trasparente,,,13 H48,"SOFFIO VASO D13 H48 TRASPARENTE",YS,DDO885TVT000000
A13607X,1,180,NATUZZI,OGGETTI DECORATIVI,Stromboli,Vaso,Ceramica,Marrone,,,25X25 H16,"STROMBOLI VASO BASSO D25H16 MARRONE TERRA C3",Y6,DDO13600000007X
A13608X,1,167,NATUZZI,OGGETTI DECORATIVI,Stromboli,Vaso,Ceramica,Marrone,,Rosso Mattone,13X13 H28,"STROMBOLI VASO MEDIO D13H28 MARRONE ROSSO MATTONE C3",Y6,DDO13600000008X
A13609X,1,220,NATUZZI,OGGETTI DECORATIVI,Stromboli,Vaso,Ceramica,Marrone,,Marrone,14X14 H38,"STROMBOLI VASO ALTO D14H38 MARRONE MARRONE C3",Y6,DDO13600000009X
A13610X,1,144,NATUZZI,OGGETTI DECORATIVI,Stromboli,Vaso,Ceramica,Blu Scuro,,,22X22 H28,"STROMBOLI VASO D22H28 BLU SCURO C4",Y6,DDO13600000010X
A13611X,1,164,NATUZZI,OGGETTI DECORATIVI,Stromboli,Centrotavola Grande,Ceramica,Blu Scuro,,,36X36 H9,"STROMBOLI CENTROTAVOLA D36H9 BLU SCURO C4",Y6,DDO13600000011X
A13616X,1,120,NATUZZI,OGGETTI DECORATIVI,Stromboli,Vaso,Ceramica,Tortora,,,14X14 H22,"STROMBOLI VASO D14H22 TAUPE C7",Y6,DDO13600000016X
A13617X,1,127,NATUZZI,OGGETTI DECORATIVI,Stromboli,Centrotavola Grande,Ceramica,Tortora,,,28X28 H5,"STROMBOLI CENTROTAVOLA D28H5 TAUPE C7",Y6,DDO13600000017X
A910003,1,630,NATUZZI,OGGETTI DECORATIVI,"STUPOR MUNDI",Litografia Incorniciata,Carta/Legno,,,,73X73,"QUADRO LITOGRAFIA SOGG. STUPOR MUNDI 73X73",YS,DDO910Q00000003
A13712X,1,116,NATUZZI,OGGETTI DECORATIVI,Thermae,Vaso,Vetro,Marrone/Crema,,,20X5 H20,"THERMAE VASO 20X5H20 MARRONE-CREMA",YS,DDO13700000012X
A13728X,1,76,NATUZZI,OGGETTI DECORATIVI,Thermae,Vaso,Vetro,Bianco,,,19X19 H17,"THERMAE VASO D19H17 BIANCO",YS,DDO13700000028X
A13729X,1,94,NATUZZI,OGGETTI DECORATIVI,Thermae,Vaso,Vetro,Bianco,,,18X18 H26,"THERMAE VASO D18H26 BIANCO",YS,DDO13700000029X
O885001XNA,1,520,NATUZZI,OGGETTI DECORATIVI,CIAMBOTTE,Set Vassoio,Acciaio Inossidabile,Oro,Acciaio Inossidabile,Argento,48X48 H9,"CIAMBOTTE Set Vassoi Nero/Oro/Argento",Y2,O885001XNA
A22901X,1,730,NATUZZI,OGGETTI DECORATIVI,Dandy,Portacandela,Pietra di Trani,Beige,,,12.5X12.5 H25,"DANDY Portacandela A D12,5 H25",Y2,DDO22900000001X
A22902X,1,730,NATUZZI,OGGETTI DECORATIVI,Dandy,Portacandela,Pietra di Trani,Beige,,,17.6X17.6 H19,"DANDY Portacandela B D17,6 H19",Y2,DDO22900000002X
A22903X,1,730,NATUZZI,OGGETTI DECORATIVI,Dandy,Portacandela,Pietra di Trani,Beige,,,12.5X12.5 H25,"DANDY Portacandela C D12,5 H25",Y2,DDO22900000003X
A22904X,1,730,NATUZZI,OGGETTI DECORATIVI,Dandy,Portacandela,Pietra di Trani,Beige,,,19X19 H13.6,"DANDY Portacandela D D19 H13,6",Y2,DDO22900000004X
A22905X,1,730,NATUZZI,OGGETTI DECORATIVI,Dandy,Portacandela,Pietra di Trani,Beige,,,12.5X12.5 H25,"DANDY Portacandela E D12,5 H25",Y2,DDO22900000005X
A12801X,1,300,NATUZZI,OGGETTI DECORATIVI,PUMI,Pumo,Vetro,Trasparente,,,24X24 H35,"PUMI PUMO VETRO D24H35 TRASPARENTE",Y2,DDO12800000001X
A12802X,1,300,NATUZZI,OGGETTI DECORATIVI,PUMI,Pumo,Vetro,Blu,,,24X24 H35,"PUMI PUMO VETRO D24H35 BLU",Y2,DDO12800000002X
A12803X,1,160,NATUZZI,OGGETTI DECORATIVI,PUMI,Pumo,Vetro,Whiskey,,,23X23 H25,"PUMI PUMO VETRO D23H25 WHISKEY",Y2,DDO12800000003X
A12804X,1,160,NATUZZI,OGGETTI DECORATIVI,PUMI,Pumo,Vetro,Lime,,,23X23 H25,"PUMI PUMO VETRO D23H25 LIME GREEN",Y2,DDO12800000004X
A12805X,1,89,NATUZZI,OGGETTI DECORATIVI,PUMI,Pumo,Vetro,Viola,,,10X10 H15,"PUMI PUMO VETRO D10H15 VIOLET",Y2,DDO12800000005X
A12806X,1,89,NATUZZI,OGGETTI DECORATIVI,PUMI,Pumo,Vetro,Trasparente,,,10X10 H15,"PUMI PUMO VETRO D10H15 TRASPARENTE",Y2,DDO12800000006X
A12809X,1,220,NATUZZI,OGGETTI DECORATIVI,PUMI,Pumo,Vetro,Trasparente,,,17X17 H25,"PUMI PUMO VETRO D17H25 TRASPARENTE",Y2,DDO12800000009X
A12901X,1,73,NATUZZI,OGGETTI DECORATIVI,PUMO,Pumo,Terracotta,Lime,,,9X9 H15,"PUMO PUMO SCAGLIE D9H15 LIME",Y2,DDO12900000001X
A12902X,1,73,NATUZZI,OGGETTI DECORATIVI,PUMO,Pumo,Terracotta,Rosa,,,9 H15,"PUMO PUMO SCAGLIE D9H15 ROSA",Y2,DDO12900000002X
A12903X,1,73,NATUZZI,OGGETTI DECORATIVI,PUMO,Pumo,Terracotta,Lilla,,,9X9 H15,"PUMO PUMO SCAGLIE D9H15 LILLA",Y2,DDO12900000003X
A12909X,1,76,NATUZZI,OGGETTI DECORATIVI,PUMO,Pumo,Terracotta,Vino,,,13 H20,"PUMO PUMO LISCIO D13H20 VINO",Y2,DDO12900000009X
A12910X,1,156,NATUZZI,OGGETTI DECORATIVI,PUMO,Pumo,Terracotta,Blu,,,20 H30,"PUMO PUMO RIGHE D20H30 BLU",Y2,DDO12900000010X
A12915X,1,125,NATUZZI,OGGETTI DECORATIVI,PUMO,Pumo,Terracotta,Oro,,,11X11 H15,"PUMO PUMO LISCIO D11H15 ORO",Y2,DDO12900000015X
A12916X,1,100,NATUZZI,OGGETTI DECORATIVI,PUMO,Pumo,Terracotta,Oro,,,8X8 H10,"PUMO PUMO LISCIO D8H10 ORO",Y2,DDO12900000016X
A890C60,1,173,NATUZZI,OGGETTI DECORATIVI,PUMO,Pumo,Ceramica,Platino,,,11 H15,"PUMO GRANDE D11 H15 PLATINO",Y2,DDO890TCR011000
