codice_articolo,quantita,prezzo,marca,categoria_prodotto,nome_modello,tipo_sedia,materiale_struttura_gambe,finitura_struttura_gambe,materiale_rivestimento_seduta,colore_finitura_rivestimento,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
C013KG0,1,460,NATUZZI,"SEDIE E POLTRONCINE",KIRIS,Senza Braccioli,Pelle,Grigio,Pelle,Grigio,50X50 H92,"KIRIS Sedia 50X50 H92 Grigio",YS,DDC013SCU01100P
CH010031400,1,1090,NATUZZI,"SEDIE E POLTRONCINE",AMBRA,Con Braccioli,,,Pelle,,67X63 H85,"AMBRA Sedia Con Braccioli Pelle",Y2,CH010031400
CH01003A000,1,900,NATUZZI,"SEDIE E POLTRONCINE",AMBRA,Con Braccioli,,,Pelle,,67X63 H85,"AMBRA Sedia Con Braccioli Pelle CTA0",Y2,CH01003A000
CH012311400,1,840,NATUZZI,"SEDIE E POLTRONCINE",AMBRA,Senza Braccioli,,,Pelle,,55X63 H85,"AMBRA Sedia Senza Braccioli Pelle",Y2,CH012311400
CH01231A000,1,690,NATUZZI,"SEDIE E POLTRONCINE",AMBRA,Senza Braccioli,,,Pelle,,55X63 H85,"AMBRA Sedia Senza Braccioli Pelle CTA0",Y2,CH01231A000
CH015011400,2,1650,NATUZZI,"SEDIE E POLTRONCINE",AMBRA,Coppia Senza Braccioli,,,Pelle,,55X63 H85,"AMBRA Coppia Sedie Senza Braccioli Pelle",Y2,CH015011400
CH01501A000,2,1340,NATUZZI,"SEDIE E POLTRONCINE",AMBRA,Coppia Senza Braccioli,,,Pelle,,55X63 H85,"AMBRA Coppia Sedie Senza Braccioli Pelle CTA0",Y2,CH01501A000
CH240032400,1,1840,NATUZZI,"SEDIE E POLTRONCINE",BEAT,Con Braccioli,Metallo Rivestito,Pelle,Pelle,,65X64 H88,"BEAT Sedia Con Braccioli Pelle",Y2,CH240032400
CH240033000,1,1960,NATUZZI,"SEDIE E POLTRONCINE",BEAT,Con Braccioli,Metallo Rivestito,Pelle,Pelle,,65X64 H88,"BEAT Sedia Con Braccioli Pelle",Y2,CH240033000
CH240036000,1,2840,NATUZZI,"SEDIE E POLTRONCINE",BEAT,Con Braccioli,Metallo Rivestito,Pelle,Pelle,,65X64 H88,"BEAT Sedia Con Braccioli Pelle",Y2,CH240036000
CH240038300,1,1450,NATUZZI,"SEDIE E POLTRONCINE",BEAT,Con Braccioli,Metallo Rivestito,Tessuto,Tessuto,,65X64 H88,"BEAT Sedia Con Braccioli Tessuto",Y2,CH240038300
CH240039900,1,1650,NATUZZI,"SEDIE E POLTRONCINE",BEAT,Con Braccioli,Metallo Rivestito,Tessuto,Tessuto,,65X64 H88,"BEAT Sedia Con Braccioli Tessuto",Y2,CH240039900
CH24003A000,1,1630,NATUZZI,"SEDIE E POLTRONCINE",BEAT,Con Braccioli,Metallo Rivestito,Pelle,Pelle,,,"BEAT Sedia Con Braccioli Pelle CTA0",Y2,CH24003A000
CH155391400,1,1360,NATUZZI,"SEDIE E POLTRONCINE",CLIO,Panca,,,Pelle,,173X68 H80,"CLIO Panca Pelle CAT.15",Y2,CH155391400
CH155394000,1,1800,NATUZZI,"SEDIE E POLTRONCINE",CLIO,Panca,,,Pelle,,173X68 H80,"CLIO Panca Pelle CAT.40",Y2,CH155394000
CH155397000,1,940,NATUZZI,"SEDIE E POLTRONCINE",CLIO,Panca,,,Tessuto,,173X68 H80,"CLIO Panca Tessuto CAT.70",Y2,CH155397000
CH155399900,1,1250,NATUZZI,"SEDIE E POLTRONCINE",CLIO,Panca,,,Tessuto,,173X68 H80,"CLIO Panca Tessuto CAT.99",Y2,CH155399900
CH220031400,1,1330,NATUZZI,"SEDIE E POLTRONCINE",EDGAR,Con Braccioli,Metallo Rivestito,Pelle,Pelle,,60X62 H89,"EDGAR Poltroncina Pelle CAT 15",Y2,CH220031400
CH220032400,1,1400,NATUZZI,"SEDIE E POLTRONCINE",EDGAR,Con Braccioli,Metallo Rivestito,Pelle,Pelle,,60X62 H89,"EDGAR Poltroncina Pelle CAT 24",Y2,CH220032400
CH220033000,1,1450,NATUZZI,"SEDIE E POLTRONCINE",EDGAR,Con Braccioli,Metallo Rivestito,Pelle,Pelle,,60X62 H89,"EDGAR Poltroncina Pelle CAT 30",Y2,CH220033000
