codice_articolo,quantita,prezzo,marca,categoria_prodotto,nome_modello,materiale_cornice,finitura_cornice,tipo_specchio,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
Y01001X,1,2650,NATUZZI,SPECCHI,ORFEO,Metallo,"Nero Brunito/Ottone","Specchio Anticato Bronzo",103X103 H2.5,"ORFEO SPECCHIO D103 SPECCHIO ANTICATO/NERO BRUNITO+OTTONE",YP,DDM01000000001X
Y01002X,1,2400,NATUZZI,SPECCHI,ORFEO,Metallo,"Nero Brunito/Ottone","Specchio Anticato Bronzo",78X78 H2.5,"ORFEO SPECCHIO D78 SPECCHIO ANTICATO/NERO BRUNITO+OTTONE",YP,DDM01000000002X
Y01003X,1,3010,NATUZZI,SPECCHI,ORFEO,Metallo,"Cioccolato/Oro Rosa","Specchio Fumé",103X103 H2.5,"ORFEO Specchio D103 Cioccolato/Specchio Fumé",YS,DDM01000000003X
Y01004X,1,2620,NATUZZI,SPECCHI,ORFEO,Metallo,"Cioccolato/Oro Rosa","Specchio Fumé",78X78 H2.5,"ORFEO Specchio D78 Cioccolato/Specchio Fumé",YP,DDM01000000004X
Y007V00,1,350,NATUZZI,SPECCHI,CHOCOLAT,Vetro,,"Specchio Normale",81X2 H75,"CHOCOLAT SPECCHIO 81X75X6",Y2,DDM007MVT000000
Y007V0V,1,440,NATUZZI,SPECCHI,CHOCOLAT,Vetro,,"Specchio Normale",100X2 H97,"CHOCOLAT SPECCHIO 100X97X6",Y2,DDM007MVTV00000
Y002V00,1,350,NATUZZI,SPECCHI,CLOUDS,Vetro,"Specchio Fumé","Specchio Normale",130X53,"CLOUD SPECCHIO 130X53 FUMÉ GRANDE",Y2,DDM002MVT000630
Y01101X,1,2740,NATUZZI,SPECCHI,KENDO,Legno,"Noce/Peltro","Specchio Bronzo",120X120,"KENDO SPECCHIO D120 NOCE 2017/PELTRO",Y2,DDM01100000001X
Y01102X,1,2520,NATUZZI,SPECCHI,KENDO,Legno,"Rovere Fumé/Ottone","Specchio Bronzo",120X120,"KENDO SPECCHIO D120 ROVERE 2017/OTTONE",Y2,DDM01100000002X
Y71101X,1,1260,NATUZZI,SPECCHI,LUMINARIE,Vetro,"Specchio Fumé","Specchio Normale",88X1 H88,"LUMINARIE Specchio Fumé 88x88",Y2,DDM71100000001X
Y71102X,1,2780,NATUZZI,SPECCHI,LUMINARIE,Vetro,"Specchio Fumé","Specchio Normale",88X3 H208,"LUMINARIE Specchio Fumé 88x208",Y2,DDM71100000002X
Y852001XNA,1,690,NATUZZI,SPECCHI,MERMAID,Vetro,"Specchio Bronzo","Specchio Normale",3X52.5 H100,"MERMAID Specchio 52,5x H100 Bronzo",Y2,Y852001XNA
Y853001XNA,1,690,NATUZZI,SPECCHI,SAILORS,Vetro,"Specchio Bronzo","Specchio Normale",3X52.5 H100,"SAILORS Specchio 52,5x H100 Bronzo",Y2,Y853001XNA
Y009VVA,1,1890,NATUZZI,SPECCHI,TAILOR,Metallo,Peltro,"Specchio Normale",76X31 H180,"TAILOR SPECCHIO 76X31 H180 PELTRO",Y2,DDM009AMT000000
