codice_articolo,quantita,prezzo,marca,categoria_prodotto,nome_modello,forma,materiale_principale,colore_principale,materiale_secondario,colore_secondario,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
R87001X,1,970,NATUZZI,TAPPETI,Barisano,Rettangolare,Lana,Grigio Scuro,Viscosa,,200X300,"BARISANO Tappeto Rettangolare 300x200 Grigio Scuro",YS,DDR870R0000001X
R87003X,1,970,NATUZZI,TAPPETI,Barisano,Rettangolare,Lana,Argento,Viscosa,,200X300,"BARISANO Tappeto Rettangolare 300x200 Argento",YP,DDR870R0000003X
R70501X,1,2790,NATUZZI,TAPPETI,Berbero,Rettangolare,Seta di Banana,Grigio Fumo,,Marrone,200X300,"BERBERO Tappeto 2x3 Grigio/Marrone",Y2,DDR70500000001X
V840001XNA,1,1990,NATUZZI,TAPPETI,CALCADA,Rettangolare,Lana,Blu,Cotone,,200X300,"CALCADA Tappeto Rettangolare 200x300 Blu",Y2,V840001XNA
R70702X,1,1240,NATUZZI,TAPPETI,Jade,Rettangolare,Lana,Verde Giada,Cotone,Marrone,200X300,"JADE Tappeto 2x3 Verde Giada/Marrone",YP,DDR70700000002X
R70704X,1,1240,NATUZZI,TAPPETI,Jade,Rettangolare,Lana,Grigio Chiaro,Cotone,Champagne,200X300,"JADE Tappeto 2x3 Grigio Chiaro/Champagne",Y2,DDR70700000004X
R912003XNA,1,3050,NATUZZI,TAPPETI,KURA,Rettangolare,Lana,Grigio Scuro,Poliestere,,300X400,"KURA Tappeto 300x400 Grigio Scuro",Y2,R912003XNA
R912005XNA,1,3050,NATUZZI,TAPPETI,KURA,Rettangolare,Lana,Grigio Chiaro,Poliestere,,300X400,"KURA Tappeto 300x400 Grigio Chiaro",Y2,R912005XNA
R912006XNA,1,1520,NATUZZI,TAPPETI,KURA,Rettangolare,Lana,Grigio Chiaro,Poliestere,,200X300,"KURA Tappeto 200x300 Grigio Chiaro",Y2,R912006XNA
R912007XNA,1,3050,NATUZZI,TAPPETI,KURA,Rettangolare,Lana,Crema,Poliestere,,300X400,"KURA Tappeto 300x400 Crema",Y2,R912007XNA
R912008XNA,1,1520,NATUZZI,TAPPETI,KURA,Rettangolare,Lana,Crema,Poliestere,,200X300,"KURA Tappeto 200x300 Crema",Y2,R912008XNA
V841001XNA,1,4100,NATUZZI,TAPPETI,NEW DECO',Rettangolare,Lana,Grigio,Tencel,,200X300,"NEW DECO Tappeto Rettangolare 200x300 Grigio",Y2,V841001XNA
V919001XNA,1,1040,NATUZZI,TAPPETI,Papel,Rettangolare,Carta,Nero,Cotone,Naturale,200X300,"PAPEL TAPPETO 200X300 Nero Naturale Bianco",Y2,V919001XNA
R842VES,1,930,NATUZZI,TAPPETI,RIFLESSO,Rettangolare,Viscosa,Corda,,,170X240,"RIFLESSO TAPPETO 170X240 Corda",YS,DDR842RVS05400S
V839001XNA,1,1850,NATUZZI,TAPPETI,SILENCE,Rettangolare,Lana,Grigio,Cotone,,200X300,"SILENCE Tappeto Rettangolare 200x300 Grigio",Y2,V839001XNA
R849LBX,1,4010,NATUZZI,TAPPETI,AFFRESCO,Rettangolare,Lana,Blu,Cotone,,280X380,"AFFRESCO TAPPETO 380X280 Blu",Y2,DDR849RLN06000X
R849LGX,1,4010,NATUZZI,TAPPETI,AFFRESCO,Rettangolare,Lana,Grigio,Cotone,,280X380,"AFFRESCO TAPPETO 380X280 Grigio",Y2,DDR849RLN01100X
R849LMX,1,4010,NATUZZI,TAPPETI,AFFRESCO,Rettangolare,Lana,Marrone,Cotone,,280X380,"AFFRESCO TAPPETO 380X280 Marrone",Y2,DDR849RLN05500X
R849LNX,1,4010,NATUZZI,TAPPETI,AFFRESCO,Rettangolare,Lana,Naturale,Cotone,,280X380,"AFFRESCO TAPPETO 380X280 Naturale",Y2,DDR849RLN00100X
R70502X,1,5520,NATUZZI,TAPPETI,BERBERO,Rettangolare,Seta di Banana,Grigio Fumo,,Marrone,300X400,"BERBERO Tappeto 3x4 Grigio/Marrone",Y2,DDR70500000002X
R70503X,1,2790,NATUZZI,TAPPETI,BERBERO,Rettangolare,Seta di Banana,Tortora,,Marrone,200X300,"BERBERO Tappeto 2x3 Tortora/Marrone",Y2,DDR70500000003X
R70504X,1,5520,NATUZZI,TAPPETI,BERBERO,Rettangolare,Seta di Banana,Tortora,,Marrone,300X400,"BERBERO Tappeto 3x4 Tortora/Marrone",Y2,DDR70500000004X
V840002XNA,1,3990,NATUZZI,TAPPETI,CALCADA,Rettangolare,Lana,Blu,Cotone,,300X400,"CALCADA Tappeto Rettangolare 300x400 Blu",YP,V840002XNA
V854001XNA,1,1970,NATUZZI,TAPPETI,GLOBES,Rettangolare,Lana,Blu,Viscosa,,200X300,"GLOBES Tappeto Rettangolare 200x300 Blu",Y2,V854001XNA
V854002XNA,1,3930,NATUZZI,TAPPETI,GLOBES,Rettangolare,Lana,Blu,Viscosa,,300X400,"GLOBES Tappeto Rettangolare 300x400 Blu",Y2,V854002XNA
V854003XNA,1,1710,NATUZZI,TAPPETI,GLOBES,Rettangolare,Lana,Beige,Viscosa,Noce,"300X200 H2","GLOBES Tappeto 200x300 Beige/Noce",Y2,V854003XNA
V854004XNA,1,3410,NATUZZI,TAPPETI,GLOBES,Rettangolare,Lana,Beige,Viscosa,Noce,"400X300 H2","GLOBES Tappeto 300x400 Beige/Noce",Y2,V854004XNA
R882001XNA,1,2140,NATUZZI,TAPPETI,GORGONIA,Rettangolare,PET,Grigio,PET,Oro,200X300,"GORGONIA Tappeto 200x300 Grigio/Oro",YP,R882001XNA
R70703X,1,2140,NATUZZI,TAPPETI,JADE,Rettangolare,Lana,Grigio Chiaro,Cotone,Champagne,300X400,"JADE Tappeto 3x4 Grigio Chiaro/Champagne",YP,DDR70700000003X
R912001XNA,1,3050,NATUZZI,TAPPETI,KURA,Rettangolare,Lana,Nero,Poliestere,,300X400,"KURA Tappeto 300x400 Nero",YP,R912001XNA
R912002XNA,1,1520,NATUZZI,TAPPETI,KURA,Rettangolare,Lana,Nero,Poliestere,,200X300,"KURA Tappeto 200x300 Nero",YP,R912002XNA
R912004XNA,1,1520,NATUZZI,TAPPETI,KURA,Rettangolare,Lana,Grigio Scuro,Poliestere,,200X300,"KURA Tappeto 200x300 Grigio Scuro",YP,R912004XNA
V842001XNA,1,2280,NATUZZI,TAPPETI,LUCE,Rettangolare,Lana,,Tencel,,200X300,"LUCE Tappeto Rettangolare 200x300 Terracotta",Y2,V842001XNA
V842002XNA,1,4560,NATUZZI,TAPPETI,LUCE,Rettangolare,Lana,,Tencel,,300X400,"LUCE Tappeto Rettangolare 300x400 Terracotta",Y2,V842002XNA
R70401X,1,3900,NATUZZI,TAPPETI,MAGNA GRECIA,Rettangolare,Poliammide,Blu Notte,,Tortora,200X300,"MAGNAGRECIA Tappeto 2X3 Blu/Tortora",YP,DDR70400000001X
R70402X,1,5620,NATUZZI,TAPPETI,MAGNA GRECIA,Rettangolare,Poliammide,Blu Notte,,Tortora,300X400,"MAGNAGRECIA Tappeto 3X4 Blu/Tortora",YP,DDR70400000002X
V980001XNA,1,2650,NATUZZI,TAPPETI,MEMORIA,Forma Irregolare,Lana,Grigio,Lana,Glicine,"300X297 H2","MEMORIA Tappeto 300x297 Grigio/Glicine",Y2,V980001XNA
V980002XNA,1,2650,NATUZZI,TAPPETI,MEMORIA,Forma Irregolare,Lana,Beige,Lana,Marrone,"300X297 H2","MEMORIA Tappeto 300x297 Beige/Marrone",Y2,V980002XNA
V980003XNA,1,2650,NATUZZI,TAPPETI,MEMORIA,Forma Irregolare,Lana,Greige,Lana,Verde,"300X297 H2","MEMORIA Tappeto 300x297 Greige/Verde",Y2,V980003XNA
V841002XNA,1,8210,NATUZZI,TAPPETI,NEW DECO',Rettangolare,Lana,Grigio,Tencel,,300X400,"NEW DECO Tappeto Rettangolare 300x400 Grigio",YP,V841002XNA
V919002XNA,1,2080,NATUZZI,TAPPETI,PAPEL,Rettangolare,Carta,Nero,Cotone,Naturale,300X400,"PAPEL TAPPETO 300X400 Nero Naturale Bianco",YP,V919002XNA
V919003XNA,1,3460,NATUZZI,TAPPETI,PAPEL,Rettangolare,Carta,Nero,Cotone,Naturale,400X500,"PAPEL TAPPETO 400X500 Nero Naturale Bianco",YP,V919003XNA
V919004XNA,1,1040,NATUZZI,TAPPETI,PAPEL,Rettangolare,Carta,Corda,Cotone,Bianco,200X300,"PAPEL TAPPETO 200X300 Corda e Bianco",YP,V919004XNA
V919005XNA,1,2080,NATUZZI,TAPPETI,PAPEL,Rettangolare,Carta,Corda,Cotone,Bianco,300X400,"PAPEL TAPPETO 300X400 Corda e Bianco",YP,V919005XNA
V919006XNA,1,3460,NATUZZI,TAPPETI,PAPEL,Rettangolare,Carta,Corda,Cotone,Bianco,400X500,"PAPEL TAPPETO 400X500 Corda e Bianco",YP,V919006XNA
R85901X,1,2570,NATUZZI,TAPPETI,SETI,Rettangolare,Viscosa di Bamboo,Visone,,,200X300,"SETI tappeto 300x200 Visone",Y2,DDR859R0000001X
R85903X,1,2570,NATUZZI,TAPPETI,SETI,Rettangolare,Viscosa di Bamboo,Acqua Marina,,,200X300,"SETI tappeto 300x200 Acqua Marina",Y2,DDR859R0000003X
R85904X,1,5810,NATUZZI,TAPPETI,SETI,Rettangolare,Viscosa di Bamboo,Acqua Marina,,,300X400,"SETI Tappeto 300x400 Acqua Marina",Y2,DDR85900000004X
R85905X,1,5810,NATUZZI,TAPPETI,SETI,Rettangolare,Viscosa di Bamboo,Argento,,,300X400,"SETI Tappeto 300x400 Argento",Y2,DDR85900000005X
R85906X,1,5810,NATUZZI,TAPPETI,SETI,Rettangolare,Viscosa di Bamboo,Visone,,,300X400,"SETI Tappeto 300x400 Visone",Y2,DDR85900000006X
