codice_articolo,quantita,prezzo,marca,categoria_prodotto,nome_modello,forma,tipo_tavolo,materiale_struttura,finitura_struttura,materiale_piano,finitura_piano,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
T18807X,1,12550,NATUZZI,TAVOLI DA PRANZO,Campus,Rettangolare,Fisso,Metallo/Legno,"Champagne Lucido/Legno Frassino Tabacco",Marmo,"Calacatta Verde",120X300 H74,"CAMPUS TAVOLO PRANZO L300X120H75 CALACATTA VERDE",Y2,DDT18800000007X
T17401X,1,35000,NATUZZI,TAVOLI DA PRANZO,Torsion,Rotondo,Fisso,Legno,Legno Massello di Ulivo,Vetro,Vetro Extra Chiaro,200X200 H74,"TORSION Tavolo D200 vetro/ulivo+Cera",YS,DDT174T0000001X
Q070004XNA,1,4450,NATUZZI,TAVOLI DA PRANZO,ADAM,Ellittico,Fisso,Legno,Frassino Miele,Legno,Frassino Miele,100X200 H75,"ADAM TAVOLO PRANZO L200X100H75 FRASSINO MIELE FSC",Y2,Q070004XNA
Q070005XNA,1,5210,NATUZZI,TAVOLI DA PRANZO,ADAM,Ellittico,Fisso,Legno,Frassino Miele,Legno,Frassino Miele,100X280 H75,"ADAM TAVOLO PRANZO L280X100H75 FRASSINO MIELE FSC",Y2,Q070005XNA
Q070006XNA,1,5840,NATUZZI,TAVOLI DA PRANZO,ADAM,Ellittico,Fisso,Legno-Pietra,Pietra Leccese Spazzolata,Pietra Leccese Spazzolata,,100X200 H75,"ADAM TAVOLO PRANZO L200X100H75 PIETRA SPATOLATA",Y2,Q070006XNA
Q070007XNA,1,6820,NATUZZI,TAVOLI DA PRANZO,ADAM,Ellittico,Fisso,Legno-Pietra,Pietra Leccese Spazzolata,Pietra Leccese Spazzolata,,100X280 H75,"ADAM TAVOLO PRANZO L280X100H75 PIETRA SPATOLATA",Y2,Q070007XNA
T18801X,1,11430,NATUZZI,TAVOLI DA PRANZO,Campus,Rettangolare,Fisso,Metallo/Legno,"Champagne Lucido/Legno Frassino Tabacco",Marmo,"Calacatta Verde",110X250 H74,"CAMPUS Tavolo L250 Legno Tabacco/Calacatta Verde",Y2,DDT18800000001X
T18803X,1,10110,NATUZZI,TAVOLI DA PRANZO,Campus,Rettangolare,Fisso,Metallo/Legno,"Champagne Lucido/Legno Frassino Tabacco",Marmo,"Calacatta Verde",110X210 H74,"CAMPUS Tavolo L210 Legno Tabacco/Calacatta Verde",Y2,DDT18800000003X
T18805X,1,10300,NATUZZI,TAVOLI DA PRANZO,Campus,Rettangolare,Fisso,Metallo/Legno,"Cromo Nero Lucido - Legno Eucalipto",Ceramica,"Macchia Vecchia",120X300 H74,"CAMPUS TAVOLO PRANZO L300X120H75 CERAMICA MACCHIA VECCHIA",Y2,DDT18800000005X
T18809X,1,13160,NATUZZI,TAVOLI DA PRANZO,Campus,Rettangolare,Fisso,Metallo/Legno,"Champagne Lucido/Legno Frassino Tabacco",Marmo,"Oro Calacatta Lucido",300X120 H74,"Campus Pranzo Cham/Fras.Tabac./Cal.Oro L300",Y2,DDT18800000009X
T18810X,1,10770,NATUZZI,TAVOLI DA PRANZO,Campus,Rettangolare,Fisso,Metallo/Legno,"Champagne Lucido/Legno Frassino Tabacco",Marmo,"Oro Calacatta Lucido",250X110 H74,"Campus Pranzo Cham/Fras.Tabac./Cal.Oro L250",Y2,DDT18800000010X
T18811X,1,10150,NATUZZI,TAVOLI DA PRANZO,Campus,Rettangolare,Fisso,Metallo/Legno,"Champagne Lucido/Legno Frassino Tabacco",Marmo,"Oro Calacatta Lucido",210X110 H74,"Campus Pranzo Cham/Fras.Tabac./Cal.Oro L210",Y2,DDT18800000011X
T18806X,1,7840,NATUZZI,TAVOLI DA PRANZO,Campus,Rotondo,Fisso,Metallo/Legno,"Cromo Nero Lucido - Legno Eucalipto",Ceramica,"Macchia Vecchia",150X150 H74,"CAMPUS TAVOLO PRANZO D150H75 CERAMICA MACCHIA VECCHIA",Y2,DDT18800000006X
T18808X,1,8640,NATUZZI,TAVOLI DA PRANZO,Campus,Rotondo,Fisso,Metallo/Legno,"Champagne Lucido/Legno Frassino Tabacco",Marmo,"Calacatta Verde",150X150 H74,"CAMPUS TAVOLO PRANZO D150H75 CALACATTA VERDE",Y2,DDT18800000008X
T18812X,1,9050,NATUZZI,TAVOLI DA PRANZO,Campus,Rotondo,Fisso,Metallo/Legno,"Champagne Lucido/Legno Frassino Tabacco",Marmo,"Oro Calacatta Lucido",150X150 H74,"Campus Pranzo Cham/Fras.Tabac./Cal.Oro D150",Y2,DDT18800000012X
T874001XNA,1,9980,NATUZZI,TAVOLI DA PRANZO,GUTTA,Ellittico,Fisso,Legno,Noce Americano,Marmo,"Oro Calacatta",220X117 H75,"GUTTA Pranzo Ell. 220x118H75 Cal.Oro/Noce",Y2,T874001XNA
T874003XNA,1,6370,NATUZZI,TAVOLI DA PRANZO,GUTTA,Ellittico,Fisso,Legno,Noce Americano,Legno,Noce Americano,220X117 H75,"GUTTA Pranzo Ell. 220x117H75 Noce Americano",Y2,T874003XNA
