codice_articolo,quantita,prezzo,marca,categoria_prodotto,nome_modello,forma,funzione,struttura_tipo_materiale_label,struttura_materiale,struttura_finitura_label,struttura_finitura,top_tipo_materiale_label,top_materiale,top_finitura_label,top_finitura,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
T100MY1,1,570,NATUZZI,TAVOLINI,CABARET,Quadrato,Angolare,Telaio,Metallo,Finitura Telaio,Cromato Lucido,Top,Marmo,Finitura Top,Bianco Carrara,45X45 H54,"CABARET SIDETABLE 45X45H54 CHR-WHITE MAR",YS,DDT100AMAM5200P
T157LH3,1,1630,NATUZZI,TAVOLINI,IDO,Quadrato,Centrale,Telaio,Metallo,Finitura Telaio,Peltro,Top,Legno,Finitura Top,Radica Frisè,90X90 H39,"IDO CENTR.TAB.90X90H39 RADICA FRISE-PEWT",YS,DDT157CLGM7515P
T157MZT,1,840,NATUZZI,TAVOLINI,IDO,Quadrato,Da Appoggio,Telaio,Metallo,Finitura Telaio,Peltro,Top,Metallo,Finitura Top,Champagne,40X40 H47,"IDO ACC.TAB.1 ST.40X40 H47 CHAMP-PEWTER",YS,DDT157SFRM5415P
T849001XNA,1,1050,NATUZZI,TAVOLINI,Ika,Quadrato,Da Appoggio,Telaio,Metallo,Finitura Telaio,Bronzo,Top,Legno Laccato,Finitura Top,Sabbia Lucido,46X55 H41,"IKA Acc.55x46H41-55Gold.Bronz Gl.Sand",YP,T849001XNA
T849002XNA,1,1060,NATUZZI,TAVOLINI,Ika,Rettangolare,Angolare,Telaio,Metallo,Finitura Telaio,Bronzo,Top,Legno,Finitura Top,Naturale,44X94 H40,"IKA Side 94x44H40 GoldBronz Nat.Oak",YP,T849002XNA
T173T1X,1,3200,NATUZZI,TAVOLINI,ORFEO,Rotondo,Centrale,Telaio,Metallo,Finitura Telaio,Nero Brunito/Ottone,Top,Legno-Laccato,Finitura Top,Rovere Fumé/Antracite/Calacatta,100X100 H40,"ORFEO TAVD100 ANT+VOLAK+ROV17/NEROBR",YS,DDT173T0000001X
T173T3X,1,1430,NATUZZI,TAVOLINI,ORFEO,Rotondo,Da Appoggio,Telaio,Metallo,Finitura Telaio,Nero Brunito/Ottone,Top,Vetro,Finitura Top,Bronzo Anticato,60X60 H54,"ORFEO TAV D60 VETROSPECCH/NEROBR+OTT",YS,DDT173T0000003X
Q070001XNA,1,2110,NATUZZI,TAVOLINI,ADAM,Quadrato,Centrale,Struttura,Legno,Finitura Struttura,Frassino Miele,Top,Legno,Finitura Top,Frassino Miele,90X90 H28,"ADAM CENT.TABLE 90X90H28 FRAS.MIELE FSC",Y2,Q070001XNA
Q070008XNA,1,2420,NATUZZI,TAVOLINI,ADAM,Quadrato,Centrale,Struttura,Legno-Pietra,Finitura Struttura,Pietra Leccese Spazzolata,Top,Pietra Leccese Spazzolata,Finitura Top,,90X90 H28,"ADAM CEN.TABLE 90X90H28 PIETRA SPAT.",Y2,Q070008XNA
Q070002XNA,1,2040,NATUZZI,TAVOLINI,ADAM,Rettangolare,Centrale,Struttura,Legno,Finitura Struttura,Frassino Miele,Top,Legno,Finitura Top,Frassino Miele,60X120 H37,"ADAM CENT.TABLE 120X60H37 FRAS.MIELE FSC",Y2,Q070002XNA
Q070009XNA,1,2020,NATUZZI,TAVOLINI,ADAM,Rettangolare,Centrale,Struttura,Legno-Pietra,Finitura Struttura,Pietra Leccese Spazzolata,Top,Pietra Leccese Spazzolata,Finitura Top,,60X120 H37,"ADAM CEN.TABLE 120X60H37 PIETRA SPAT.",Y2,Q070009XNA
