codice_articolo,quantita,prezzo,marca,categoria_prodotto,sottocategoria,nome_linea_modello,tipo_prodotto,materiale_principale,colore_finitura_principale,materiale_secondario,colore_finitura_secondaria_accento,dimensioni_cm,descrizione_aggiuntiva,codice_stato,codice_articolo_alternativo
A869T7V,1,290,NATUZZI,TESSILI,"Plaid e Cuscini",FANTE,Plaid,Cachemire,Marrone,Merinos,,130X180,"FANTE PLAID 130X180 MARRONE",YS,DDO869RTX00200V
A882T60,1,290,NATUZZI,TESSILI,"Plaid e Cuscini",NEBULA,Plaid,Mohair,Grigio,Lana,,135X180,"NEBULA PLAID 135X180 GRIGIO SPRAY",YS,DDO882RTX011000
A882T90,1,290,NATUZZI,TESSILI,"Plaid e Cuscini",NEBULA,Plaid,Mohair,Blu,Lana,,135X180,"NEBULA PLAID 135X180 BLU SPRAY",YS,DDO882RTX060000
A882TG0,1,290,NATUZZI,TESSILI,"Plaid e Cuscini",NEBULA,Plaid,Mohair,Verde,Lana,,135X180,"NEBULA PLAID 135X180 VERDE SPRAY",YS,DDO882RTX059000
A875X6X,1,210,NATUZZI,TESSILI,"Biancheria Letto",ROYAL,"Set 2 Cuscini",Poliestere,Grigio,Cotone,,50X80,"ROYAL BIANCHERIA LETTO 2 CUSCINI 50X80 GRIGIO",YS,DDO8750PLT1111V
A14601X,1,410,NATUZZI,TESSILI,"Plaid e Cuscini",Shade,Plaid,Lana,Beige,,,140X180,"SHADE PLAID 180X140 BEIGE",YS,DDO14600000001X
A14603X,1,410,NATUZZI,TESSILI,"Plaid e Cuscini",Shade,Plaid,Lana,"Bordeaux/Verde",,,140X180,"SHADE PLAID 180X140 Bordeaux/Verde",YS,DDO14600000003X
A833T00,1,440,NATUZZI,TESSILI,"Biancheria Letto",SIRIO,"Set Lenzuolo Sopra + 2 Federe",Lino,Naturale,,,275X295,"SIRIO LENZUOLO SOPRA + 2 FEDERE NATURALE",YS,DDO8330TX000000
A833T0X,1,620,NATUZZI,TESSILI,"Biancheria Letto",SIRIO,"Set Copripiumino + 2 Federe",Lino,Naturale,,Bianco,250X230,"SIRIO COPRIPIUMINO + 2 FEDERE NATURALE-BIANCO",Y3,DDO8330TX000520
A14701X,1,420,NATUZZI,TESSILI,"Plaid e Cuscini",Trulli,Plaid,Lana,Beige,,Avorio,140X180,"TRULLI PLAID 180X140 BEIGE AVORIO",Y7,DDO14700000001X
A14702X,1,49,NATUZZI,TESSILI,"Plaid e Cuscini",Trulli,Cuscino,Poliestere,Marrone Scuro,,,50X50,"TRULLI CUSCINO 50X50 MARRONE TERRACOTTA",Y7,DDO14700000002X
A14501X,1,177,NATUZZI,TESSILI,"Plaid e Cuscini","Wool Plaid",Plaid,Lana,Avorio,,,130X180,"PLAID LANA 180X130 AVORIO",YS,DDO14500000001X
A14502X,1,177,NATUZZI,TESSILI,"Plaid e Cuscini","Wool Plaid",Plaid,Lana,Grigio,,,130X180,"PLAID LANA 180X130 GRIGIO",YS,DDO14500000002X
A14503X,1,177,NATUZZI,TESSILI,"Plaid e Cuscini","Wool Plaid",Plaid,Lana,Glicine,,,130X180,"PLAID LANA 180X130 GLICINE",YS,DDO14500000003X
A14504X,1,177,NATUZZI,TESSILI,"Plaid e Cuscini","Wool Plaid",Plaid,Lana,Ottanio,,,130X180,"PLAID LANA 180X130 OTTANIO",YS,DDO14500000004X
A14505X,1,177,NATUZZI,TESSILI,"Plaid e Cuscini","Wool Plaid",Plaid,Lana,Verde Lime,,,130X180,"PLAID LANA 180X130 VERDE LIME",YS,DDO14500000005X
A11413X,1,216,NATUZZI,TESSILI,"Biancheria Letto",Coast,"Set 2 Federe Quadrate",Cotone,Bianco Naturale,,Rame,60X60,"COAST 2 Federe 60x60 Bianco/Rame",YS,DDO11400000013X
A11418X,1,216,NATUZZI,TESSILI,"Biancheria Letto",Coast,"Set 2 Federe Quadrate",Cotone,Bianco Naturale,,Argento,60X60,"COAST 2 Federe 60x60 Bianco/Argento",YS,DDO11400000018X
A11423X,1,216,NATUZZI,TESSILI,"Biancheria Letto",Coast,"Set 2 Federe Quadrate",Cotone,Bianco Naturale,,Oro,60X60,"COAST 2 Federe 60x60 Bianco/Oro",YS,DDO11400000023X
A11432X,1,300,NATUZZI,TESSILI,"Biancheria Letto",Coast,"Set 2 Federe Quadrate",Lino,Bianco Naturale,,Rame,60X60,"COAST Lino 2 Federe 60x60 Bianco/Rame",YP,DDO11400000032X
A11441X,1,300,NATUZZI,TESSILI,"Biancheria Letto",Coast,"Set 2 Federe Quadrate",Lino,Bianco Naturale,,Argento,60X60,"COAST Lino 2 Federe 60x60 Bianco/Argento",YP,DDO11400000041X
A11450X,1,300,NATUZZI,TESSILI,"Biancheria Letto",Coast,"Set 2 Federe Quadrate",Lino,Bianco Naturale,,Oro,60X60,"COAST Lino 2 Federe 60x60 Bianco/Oro",YP,DDO11400000050X
A24018X,1,250,NATUZZI,TESSILI,"Biancheria Letto",Frame,"Set 2 Federe Quadrate",Cotone,Bianco Naturale,Cotone,Sabbia,60X60,"FRAME 2 Federe 60x60 Bianco/Marrone",YS,DDO24000000018X
A12209X,1,600,NATUZZI,TESSILI,"Biancheria Letto",Journey,"Set Copripiumino+Lenzuolo+2Federe",Cotone,Blu,,,230X275,"JOURNEY Copripiumino:Sacco Lenzuolo+2 Federe BLU",YS,DDO12200000009X
A12219X,1,290,NATUZZI,TESSILI,"Biancheria Letto",Journey,"Set 2 Federe Quadrate",Cotone,Bianco Naturale,,Cammello,60X60,"JOURNEY 2 Federe 60x60 Bianco/Cammello",YP,DDO12200000019X
A12228X,1,390,NATUZZI,TESSILI,"Biancheria Letto",Journey,"Set 2 Federe Quadrate",Lino,Bianco Naturale,,Cammello,60X60,"JOURNEY Lino 2 Federe 60x60 Bianco/Cammello",YP,DDO12200000028X
A12237X,1,390,NATUZZI,TESSILI,"Biancheria Letto",Journey,"Set 2 Federe Quadrate",Lino,Bianco Naturale,,Blu,60X60,"JOURNEY Lino 2 Federe 60x60 Bianco/Blu",YP,DDO12200000037X
A12246X,1,390,NATUZZI,TESSILI,"Biancheria Letto",Journey,"Set 2 Federe Quadrate",Lino,Bianco Naturale,,Cotto,60X60,"JOURNEY Lino 2 Federe 60x60 Bianco/Cotto",YP,DDO12200000046X
A12251X,1,290,NATUZZI,TESSILI,"Biancheria Letto",Journey,"Set 2 Federe Quadrate",Cotone,Bianco Naturale,,Blu,60X60,"JOURNEY 2 Federe 60x60 Bianco/Blu",YP,DDO12200000051X
A12256X,1,290,NATUZZI,TESSILI,"Biancheria Letto",Journey,"Set 2 Federe Quadrate",Cotone,Bianco Naturale,,Cotto,60X60,"JOURNEY 2 Federe 60x60 Bianco/Cotto",YP,DDO12200000056X
A23917X,1,150,NATUZZI,TESSILI,"Biancheria Letto",Pinstripe,"Set 2 Federe Quadrate",Cotone,Bianco Naturale,Cotone,Grigio,60X60,"PINSTRIPE 2 Federe 60x60 Bianco/Grigio",YS,DDO23900000017X
A23918X,1,150,NATUZZI,TESSILI,"Biancheria Letto",Pinstripe,"Set 2 Federe Quadrate",Cotone,Bianco Naturale,Cotone,Marrone,60X60,"PINSTRIPE 2 Federe 60x60 Bianco/Marrone",YS,DDO23900000018X
A13319X,1,260,NATUZZI,TESSILI,"Biancheria Letto",River,"Set 2 Federe Quadrate",Lino,Bianco Naturale,,Avena,60X60,"RIVER Lino 2 Federe 60x60 Bianco/Avena",YP,DDO13300000019X
A13328X,1,260,NATUZZI,TESSILI,"Biancheria Letto",River,"Set 2 Federe Quadrate",Lino,Bianco Naturale,,Verde,60X60,"RIVER Lino 2 Federe 60x60 Bianco/Verde",YP,DDO13300000028X
A11601X,1,89,NATUZZI,TESSILI,"Biancheria Tavola",Convito,"Set Tovaglietta + 1 Tovagliolo",Lino,Bianco,,Oro,,"CONVITO TOVAGLIETTA+1TOVAGLIOLO BIANCO ORO",YS,DDO11600000001X
